gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection
CELF1	CELF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8514013658186292	0.6816963268666918	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.6816963268666918
ATP2B1	ATP2B1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.985424876003934	0.660543682328214	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.660543682328214
CD47	CD47	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.709453234500212	0.6601795043884444	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.6601795043884444
BEX2	BEX2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6464810216127392	0.7266086197973963	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.6464810216127392
CELF4	CELF4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9613552397441387	0.621309139517812	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.621309139517812
MAPK1	MAPK1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8836160290869207	0.5569067929315716	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.5569067929315716
SYT1	SYT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9993808817307093	0.5515393214729516	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.5515393214729516
SDCBP	SDCBP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5415295386500119	0.5835436041016551	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.5415295386500119
GATAD2B	GATAD2B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6116887256190526	0.5393685205625003	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.5393685205625003
PPM1H	PPM1H	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.771273078629445	0.5329864287154235	5	2	0.0758318298602499	0.006815655353197771	True	True	1.0	0.5329864287154235
SPOP	SPOP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5661886752445233	0.5293169434965405	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.5293169434965405
STXBP1	STXBP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8594603243125365	0.5050778328714265	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.5050778328714265
MRFAP1	MRFAP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5027746321207395	0.7950772236666368	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.5027746321207395
NEUROD2	NEUROD2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.499846534165189	0.5109794047742044	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.499846534165189
CDC42SE2	CDC42SE2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.6755154110422306	0.49570585264130995	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.49570585264130995
PPP1CB	PPP1CB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.49563211757500597	0.6029402036968907	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.49563211757500597
ASH1L	ASH1L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8103430931541478	0.49520253585208884	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.49520253585208884
RUNDC3A	RUNDC3A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.4845501507833887	0.48373205899333827	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.48373205899333827
ST18	ST18	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.6439795918367347	0.48285191328628263	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.48285191328628263
SSBP3	SSBP3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.48009049145743987	0.6856267877960249	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.48009049145743987
NAPA	NAPA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.47796662962669245	0.5739834179839417	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.47796662962669245
CACNA2D1	CACNA2D1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9689538683366323	0.47583504974176755	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.47583504974176755
OLFM1	OLFM1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9262944324428133	0.46241027330065376	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.46241027330065376
ATP6V1B2	ATP6V1B2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5863348292641912	0.4526075201156191	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4526075201156191
TAGLN3	TAGLN3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.4475800806148541	0.7404405493164787	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.4475800806148541
BAIAP2	BAIAP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7423355439477861	0.4435207677762799	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.4435207677762799
ENSA	ENSA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.629241868134542	0.4429603903327869	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4429603903327869
SNCA	SNCA	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.8308922075857929	0.4416733794213956	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4416733794213956
SYP	SYP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.6902821184826924	0.4377427224548994	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4377427224548994
SBNO1	SBNO1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.4308772136195187	0.5112063710095953	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4308772136195187
RASA1	RASA1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.7163499128329713	0.4304665553251077	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4304665553251077
WBP2	WBP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.46920982232218333	0.42734600165141934	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.42734600165141934
NDRG3	NDRG3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5596152658915984	0.4147206131449681	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4147206131449681
RPL3	RPL3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.40945002351383153	0.9954725611173261	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.40945002351383153
ATP1A1	ATP1A1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.7009586796129194	0.4080623111753179	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.4080623111753179
RNF165	RNF165	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.4065523230568823	0.5327311087528088	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.4065523230568823
YME1L1	YME1L1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5178049835283106	0.4059394906765512	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4059394906765512
ROBO2	ROBO2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.7952070251177394	0.4009078132633713	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.4009078132633713
WASF1	WASF1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8529463064805589	0.3926657114589403	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.3926657114589403
CBFA2T2	CBFA2T2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.6999701404140859	0.3786135150394684	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.3786135150394684
COG7	COG7	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.3666750970707737	0.4038053213699622	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.3666750970707737
MARK2	MARK2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.3771363729438264	0.3666062408974001	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3666062408974001
KPNA4	KPNA4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.3619593008415177	0.39478810376349427	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.3619593008415177
EIF4B	EIF4B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.35928747096597896	0.5619221319192241	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.35928747096597896
RAB28	RAB28	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.4819183908069219	0.3566318678693736	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3566318678693736
PKIG	PKIG	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.7156860439964088	0.35605471352560747	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.35605471352560747
ST3GAL5	ST3GAL5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.45113067462886947	0.352591188106643	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.352591188106643
AHI1	AHI1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9631952810603978	0.34798217466520065	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.34798217466520065
CALD1	CALD1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.3475440395101551	0.6193312111286369	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.3475440395101551
SEZ6L2	SEZ6L2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.48238212795744606	0.34259366255470025	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.34259366255470025
VPS37B	VPS37B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.339828492995299	0.48195357674116823	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.339828492995299
KLF13	KLF13	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.3393830108414055	0.40137272660084744	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3393830108414055
NFX1	NFX1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.5127706483336225	0.3341517211792246	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3341517211792246
TSPYL1	TSPYL1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5315495744452332	0.3327894605383078	5	2	0.0758318298602499	0.01922337276925927	True	True	1.0	0.3327894605383078
SMPD3	SMPD3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.5308654680252191	0.33126384423294536	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.33126384423294536
SYNPR	SYNPR	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9822796720118494	0.3260528019205269	5	2	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3260528019205269
BANP	BANP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.32455562918883196	0.3454909309028754	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.32455562918883196
PDS5B	PDS5B	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.64677539075831	0.3218762121216978	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3218762121216978
KCNC1	KCNC1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.4374783590092965	0.3207738826614598	5	2	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3207738826614598
LRPAP1	LRPAP1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.3206046626866629	0.4469247060450092	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.3206046626866629
WASL	WASL	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5365914360543951	0.319424855917863	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.319424855917863
ANP32A	ANP32A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.31842713462319094	0.6654275733733293	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.31842713462319094
CELF3	CELF3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.31208550979011423	0.34289197664699633	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.31208550979011423
SEZ6L	SEZ6L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9411686915568903	0.3112416679320357	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.3112416679320357
LIN7C	LIN7C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.4643982561989579	0.3107279981347725	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.3107279981347725
NOL4	NOL4	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.7589882943143813	0.30966149815303373	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.30966149815303373
NEDD4L	NEDD4L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.8581944065251519	0.30733182028489336	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.30733182028489336
OTUB1	OTUB1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.30695993152043755	0.37254571197253017	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.30695993152043755
TNRC6C	TNRC6C	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.782266355538871	0.3032372428303182	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3032372428303182
GLCE	GLCE	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.30314146367999734	0.4707170097204814	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.30314146367999734
KCNK1	KCNK1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.8485949808431221	0.30306302778527505	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.30306302778527505
CHGB	CHGB	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.6514537245228322	0.3020402763378659	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.3020402763378659
CECR2	CECR2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.42057958194035355	0.2999458251723818	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.2999458251723818
NRCAM	NRCAM	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.9686221077059587	0.2945484213705584	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.2945484213705584
GSG1L	GSG1L	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.44507213671421747	0.2935408160849531	5	2	0.0758318298602499	0.04533132696218489	True	True	1.0	0.2935408160849531
OSBP2	OSBP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.6638610419084021	0.29201728038091207	5	2	0.0758318298602499	0.006815655353197771	True	True	1.0	0.29201728038091207
SSTR2	SSTR2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.29036697190690314	0.5784867343234985	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.29036697190690314
NCOR2	NCOR2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6369213912241132	0.28748855329702444	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.28748855329702444
SPHKAP	SPHKAP	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.9393919357040476	0.28694840782639264	5	2	0.0758318298602499	0.006815655353197771	True	True	1.0	0.28694840782639264
PIP5K1A	PIP5K1A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.4602540132768236	0.2843743019970506	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.2843743019970506
SF3B3	SF3B3	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.28428358167138945	0.31524988862942116	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.28428358167138945
PWWP2A	PWWP2A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.38819083563510776	0.28397814200643473	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.28397814200643473
TMEM132A	TMEM132A	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.00021486327043911477	0.28124952435714223	0.36762894131884527	5	3	0.0758318298602499	0.006815655353197771	True	True	1.0	0.28124952435714223
PPFIA2	PPFIA2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.0017167440604175456	0.9994709177504133	0.2784952496558215	5	3	0.0758318298602499	0.01922337276925927	True	True	1.0	0.2784952496558215
NMT1	NMT1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.4435220811433409	0.2784643191531671	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.2784643191531671
LRRN1	LRRN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.49220485826882143	0.2783637691805453	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.2783637691805453
MAPK8IP2	MAPK8IP2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.006644634407735547	6	12	1.0	0.5	0.5	0.009879767867540601	0.2815260882948011	0.27476229080648307	5	3	0.0758318298602499	0.04533132696218489	True	True	1.0	0.27476229080648307
