gene	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	sample_accession	donor_id	present_in_h5	gene_feature_index_0based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	n_peaks_total_100kb	n_gene_body_overlap	n_gene_edge_2kb	n_proximal_10kb	n_distal_100kb
C1QL3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558423	H187	True	17709	ENSG00000165985	C1QL3	chr10	16521144	16521879	10	1	1	0	8
C5ORF34	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	9773	ENSG00000172244	C5orf34	chr5	43515147	43515148	7	1	0	0	6
C9ORF85	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	16681	ENSG00000155621	C9orf85	chr9	71911544	71911661	8	1	0	0	7
CACNA2D1	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	13796	ENSG00000153956	CACNA2D1	chr7	82443714	82443777	9	1	2	1	5
CADM3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	2260	ENSG00000162706	CADM3	chr1	159171608	159171615	24	1	1	7	15
CALB1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558423	H187	True	15629	ENSG00000104327	CALB1	chr8	90081520	90082879	4	1	0	0	3
CALB2	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558423	H187	True	27709	ENSG00000172137	CALB2	chr16	71358712	71358723	11	1	0	5	5
CALM1	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	24700	ENSG00000198668	CALM1	chr14	90397028	90399082	28	2	1	2	23
CALM2	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	3961	ENSG00000143933	CALM2	chr2	47175538	47176921	17	2	1	1	13
CAMK2A	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	10798	ENSG00000070808	CAMK2A	chr5	150289737	150290291	12	1	0	0	11
CAMK2B	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	13505	ENSG00000058404	CAMK2B	chr7	44325420	44325656	35	1	1	3	30
CFL1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	20024	ENSG00000172757	CFL1	chr11	65856963	65861421	25	3	0	1	21
CNTN5	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	20496	ENSG00000149972	CNTN5	chr11	99020948	99844808	2	1	0	1	0
DCC	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	30569	ENSG00000187323	DCC	chr18	52340196	52934772	13	13	0	0	0
DCX	developmental_origin_module;niche_circuit_module	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	EpigenomicCompatibility;NicheSignal	high	False	2	GSM9558423	H187	True	36051	ENSG00000077279	DCX	chrX	111410948	111412429	0	0	0	0	0
DKK3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558423	H187	True	19266	ENSG00000050165	DKK3	chr11	12009081	12009769	34	1	1	0	32
DLL1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	13004	ENSG00000198719	DLL1	chr6	170291077	170291078	19	0	2	1	16
DPYSL2	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	15056	ENSG00000092964	DPYSL2	chr8	26514030	26578405	29	3	2	1	23
DPYSL3	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	10748	ENSG00000113657	DPYSL3	chr5	147453958	147510068	6	2	0	0	4
DYNLL1	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558423	H187	True	22647	ENSG00000088986	DYNLL1	chr12	120469849	120496113	22	4	1	1	16
EMX1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558423	H187	True	4193	ENSG00000135638	EMX1	chr2	72916259	72917519	18	1	2	2	13
EMX2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	18712	ENSG00000170370	EMX2	chr10	117542444	117542746	10	0	1	0	9
EN1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	4774	ENSG00000163064	EN1	chr2	118847677	118847678	3	0	0	1	2
EN2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	14658	ENSG00000164778	EN2	chr7	155458128	155458129	43	0	1	5	37
EOMES	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	6182	ENSG00000163508	EOMES	chr3	27722322	27722711	13	0	1	2	10
FGF8	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	18556	ENSG00000107831	FGF8	chr10	101775958	101780369	15	1	1	1	12
FOXG1	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558423	H187	True	24043	ENSG00000176165	FOXG1	chr14	28766786	28766787	0	0	0	0	0
FOXN2	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	True	1	GSM9558423	H187	True	3972	ENSG00000170802	FOXN2	chr2	48314681	48346217	36	9	0	4	23
GABRA2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	GSM9558423	H187	True	8267	ENSG00000151834	GABRA2	chr4	46388712	46475230	3	1	0	0	2
GABRB3	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	25253	ENSG00000166206	GABRB3	chr15	26629089	26939539	27	26	0	0	1
GAP43	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	6954	ENSG00000172020	GAP43	chr3	115623323	115623510	26	1	1	4	20
GBX2	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	5828	ENSG00000168505	GBX2	chr2	236168008	236168386	8	2	0	2	4
GFAP	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	29250	ENSG00000131095	GFAP	chr17	44915485	44915500	19	0	1	1	17
GLI1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	3	GSM9558423	H187	True	21960	ENSG00000111087	GLI1	chr12	57459784	57460151	18	0	1	4	13
GLI2	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	4797	ENSG00000074047	GLI2	chr2	120792408	120797291	15	0	1	1	13
GLIS3	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	False	2	GSM9558423	H187	True	16232	ENSG00000107249	GLIS3	chr9	4152146	4300068	15	4	0	0	11
GPM6A	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	False	4	GSM9558423	H187	True	9242	ENSG00000150625	GPM6A	chr4	175787675	176002664	38	15	0	1	22
GRIN2B	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	21297	ENSG00000273079	GRIN2B	chr12	13980362	13980363	2	0	0	0	2
HES1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558423	H187	True	7751	ENSG00000114315	HES1	chr3	194136147	194136148	4	0	2	1	1
HES5	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558423	H187	True	110	ENSG00000197921	HES5	chr1	2530262	2530263	27	1	1	2	23
HMGA2	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558423	H187	True	22055	ENSG00000149948	HMGA2	chr12	65824130	65825123	4	0	1	0	3
HMGN2	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558423	H187	True	601	ENSG00000198830	HMGN2	chr1	26472439	26472515	20	1	1	1	17
ID1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	33252	ENSG00000125968	ID1	chr20	31605282	31605289	22	1	1	2	18
ID2	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	3513	ENSG00000115738	ID2	chr2	8678844	8682056	13	2	2	2	7
JAG1	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	33043	ENSG00000101384	JAG1	chr20	10673998	10673999	7	1	0	1	5
KCND2	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	14171	ENSG00000184408	KCND2	chr7	120273174	120273175	19	1	1	3	14
KCNJ3	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	5024	ENSG00000162989	KCNJ3	chr2	154697854	154698695	22	1	0	3	18
KCNJ6	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	34179	ENSG00000157542	KCNJ6	chr21	37916456	38121345	19	5	0	1	13
KCNK1	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	highest	False	3	GSM9558423	H187	True	3198	ENSG00000135750	KCNK1	chr1	233614105	233614106	42	1	2	2	37
KCNMB4	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	22113	ENSG00000135643	KCNMB4	chr12	70366289	70366290	19	1	1	1	16
KIAA1143	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	6351	ENSG00000163807	KIAA1143	chr3	44761618	44761619	7	1	0	0	6
KIAA1328	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	30460	ENSG00000150477	KIAA1328	chr18	36829126	37066866	6	4	0	0	2
L1CAM	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	36380	ENSG00000198910	L1CAM	chrX	153875846	153886173	36	2	1	1	32
LEF1	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	8752	ENSG00000138795	LEF1	chr4	108166300	108168956	0	0	0	0	0
LHX2	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	3	GSM9558423	H187	True	17160	ENSG00000106689	LHX2	chr9	124011767	124011768	2	1	0	0	1
MAP1B	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	9979	ENSG00000131711	MAP1B	chr5	72107474	72107475	39	1	1	3	34
MAP3K13	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	7657	ENSG00000073803	MAP3K13	chr3	185282940	185363136	10	3	0	0	7
MAPK14	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	11849	ENSG00000112062	MAPK14	chr6	36027676	36028158	12	1	0	1	10
MAPKAP1	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	False	1	GSM9558423	H187	True	17186	ENSG00000119487	MAPKAP1	chr9	125672642	125707234	12	1	0	0	11
MEIS1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	4111	ENSG00000143995	MEIS1	chr2	66435124	66439321	29	2	1	6	20
MIR124-1HG	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	False							0	0	0	0	0
MSI1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558423	H187	True	22641	ENSG00000135097	MSI1	chr12	120369163	120369164	17	1	1	1	14
MYCN	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	GSM9558423	H187	True	3595	ENSG00000134323	MYCN	chr2	15940549	15940566	6	0	1	0	5
NCAM1	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	20626	ENSG00000149294	NCAM1	chr11	112961246	112961480	14	1	1	1	11
NES	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558423	H187	True	2203	ENSG00000132688	NES	chr1	156677406	156677407	30	0	1	3	26
NEUROD1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_postmitotic_granule_maturation	EpigenomicCompatibility;FatePolarity	high	True	3	GSM9558423	H187	True	5262	ENSG00000162992	NEUROD1	chr2	181680875	181680876	28	1	0	6	21
NEUROD2	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558423	H187	True	29003	ENSG00000171532	NEUROD2	chr17	39607919	39607920	21	1	2	3	15
NFIA	developmental_origin_module;manuscript_candidate_tier	Tier 1 core convergent program;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	highest	True	2	GSM9558423	H187	True	1200	ENSG00000162599	NFIA	chr1	60865258	61404076	85	77	0	2	6
NFIB	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	GSM9558423	H187	True	16303	ENSG00000147862	NFIB	chr9	14180791	14398983	49	30	1	1	17
NOTCH1	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	2	GSM9558423	H187	True	17435	ENSG00000148400	NOTCH1	chr9	136546047	136546048	17	1	2	0	14
NOTCH2	niche_circuit_module	shared_neurogenic_niche_state	NicheSignal	high	False	1	GSM9558423	H187	True	1796	ENSG00000134250	NOTCH2	chr1	120051713	120069662	2	1	0	0	1
NRP1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	17856	ENSG00000099250	NRP1	chr10	33334381	33336262	1	0	0	1	0
NRXN1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	3983	ENSG00000179915	NRXN1	chr2	49973938	51032561	129	118	1	1	9
OTX2	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	True	1	GSM9558423	H187	True	24306	ENSG00000165588	OTX2	chr14	56805647	56816693	21	4	0	2	15
PAX2	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	18529	ENSG00000075891	PAX2	chr10	100745710	100746220	8	1	2	1	4
PAX5	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	16537	ENSG00000196092	PAX5	chr9	37025747	37034268	9	3	0	1	5
PAX6	developmental_origin_module;niche_circuit_module	anterior_telencephalic_pattern;cerebellar_fate_rhombic_lip_shh;deep_neural_progenitor	FatePolarity	high	True	3	GSM9558423	H187	True	19444	ENSG00000007372	PAX6	chr11	31804045	31817961	27	2	1	4	20
PAX8	developmental_origin_module	hindbrain_rhombic_lip_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	4736	ENSG00000125618	PAX8	chr2	113241778	113278921	8	0	1	0	7
PLXNA2	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	2882	ENSG00000076356	PLXNA2	chr1	208244383	208244384	33	1	2	2	28
PLXNA4	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	14300	ENSG00000221866	PLXNA4	chr7	132576469	132648688	11	3	1	0	7
POT1	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	14210	ENSG00000128513	POT1	chr7	124929800	124929983	4	1	1	0	2
PPP3CA	manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	ConstructionBalance	high	False	2	GSM9558423	H187	True	8696	ENSG00000138814	PPP3CA	chr4	101346841	101347526	20	1	2	1	16
PROM1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	False	1	GSM9558423	H187	True	8073	ENSG00000007062	PROM1	chr4	16076117	16084378	11	1	0	1	9
PROX1	developmental_origin_module;niche_circuit_module	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	FatePolarity	high	True	2	GSM9558423	H187	True	2964	ENSG00000117707	PROX1	chr1	213987934	213988517	15	1	1	5	8
PTCH1	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	False	3	GSM9558423	H187	True	16872	ENSG00000185920	PTCH1	chr9	95507198	95517057	23	4	1	3	15
RAB7A	manuscript_candidate_tier	Tier 5 exploratory non-identical ortholog	ConstructionBalance	medium	False	1	GSM9558423	H187	True	7111	ENSG00000075785	RAB7A	chr3	128726121	128795359	20	4	0	3	13
RBFOX3	developmental_origin_module	shared_postmitotic_granule_maturation	EpigenomicCompatibility	medium	False	1	GSM9558423	H187	True	29913	ENSG00000167281	RBFOX3	chr17	79235804	79516148	96	55	1	7	33
RFX3	manuscript_candidate_tier	Tier 1 core convergent program	ConstructionBalance	highest	True	1	GSM9558423	H187	True	16228	ENSG00000080298	RFX3	chr9	3395587	3526001	12	9	0	0	3
RFX7	manuscript_candidate_tier	Tier 3 broad both-screen mechanism support	ConstructionBalance	medium_high	True	1	GSM9558423	H187	True	25696	ENSG00000181827	RFX7	chr15	56243265	56243266	8	0	3	1	4
ROBO2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	6740	ENSG00000185008	ROBO2	chr3	75906694	77477410	57	47	0	0	10
RTN1	niche_circuit_module	downstream_neurite_morphology	ConstructionBalance	high	False	1	GSM9558423	H187	True	24339	ENSG00000139970	RTN1	chr14	59630608	59870776	52	32	1	2	17
RTN3	manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology	ConstructionBalance	high	False	2	GSM9558423	H187	True	19914	ENSG00000133318	RTN3	chr11	63681445	63681573	21	1	1	1	18
SEMA7A	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	GSM9558423	H187	True	25986	ENSG00000138623	SEMA7A	chr15	74433703	74433958	24	1	0	3	20
SIX3	developmental_origin_module	anterior_telencephalic_pattern	FatePolarity	medium_high	False	1	GSM9558423	H187	True	3927	ENSG00000138083	SIX3	chr2	44941701	44941702	7	1	0	1	5
SLC17A6	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	19385	ENSG00000091664	SLC17A6	chr11	22338380	22338381	1	0	0	0	1
SLC17A7	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	32441	ENSG00000104888	SLC17A7	chr19	49441526	49442360	28	1	1	5	21
SNAP25	developmental_origin_module;niche_circuit_module	downstream_neurite_synapse_construction;downstream_synaptic_excitability	ConstructionBalance;EpigenomicCompatibility	high	False	2	GSM9558423	H187	True	33037	ENSG00000132639	SNAP25	chr20	10218829	10218833	29	1	2	6	20
SOX1	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	True	1	GSM9558423	H187	True	23631	ENSG00000182968	SOX1	chr13	112067148	112067149	6	1	0	3	2
SOX2	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	GSM9558423	H187	True	7593	ENSG00000181449	SOX2	chr3	181711924	181711925	13	1	1	4	7
SOX3	developmental_origin_module	deep_neural_progenitor	FatePolarity	medium_high	True	1	GSM9558423	H187	True	36257	ENSG00000134595	SOX3	chrX	140505115	140505116	1	0	1	0	0
STMN2	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	4	GSM9558423	H187	True	15543	ENSG00000104435	STMN2	chr8	79610813	79611735	17	1	1	4	11
STMN3	developmental_origin_module;niche_circuit_module	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	ConstructionBalance;EpigenomicCompatibility	high	False	3	GSM9558423	H187	True	33812	ENSG00000197457	STMN3	chr20	63652765	63653424	26	1	1	2	22
STXBP1	niche_circuit_module	downstream_synaptic_excitability	ConstructionBalance	high	False	1	GSM9558423	H187	True	17211	ENSG00000136854	STXBP1	chr9	127579369	127612361	39	5	1	3	30
