gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
ARF2P	ARF2P	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.030093938344890565	0.23135001596091656	0.3329625509825732	4	2	0.2047379835013634	0.10642276028215444	True	False	1.0	0.23135001596091656	51616222	ARF2P	Arf2	ARF2	nonidentical_symbol	108489980	11841	HGNC:44341	MGI:99595	False
ZNF397	ZNF397	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.21984906852400693	0.2365693975785394	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.21984906852400693	51636390	ZNF397	Zfp397	ZFP397	nonidentical_symbol	84307	69256	HGNC:18818	MGI:1916506	True
C19orf53	C19ORF53	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.21304906895001732	0.6237519329158132	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.21304906895001732	51630782	C19orf53	D8Ertd738e	D8ERTD738E	nonidentical_symbol	28974	101966	HGNC:24991	MGI:1289231	True
KIAA0586	KIAA0586	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.28406943212067437	0.2129196554924106	4	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.2129196554924106	51622879	KIAA0586	2700049A03Rik	2700049A03RIK	nonidentical_symbol	9786	76967	HGNC:19960	MGI:1924217	True
TP53I11	TP53I11	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2092291381791777	0.5523007875359683	5	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.2092291381791777	51620719	TP53I11	Trp53i11	TRP53I11	nonidentical_symbol	9537	277414	HGNC:16842	MGI:2670995	True
ZNF277	ZNF277	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.36306113661243417	0.20673196868475735	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.20673196868475735	51629829	ZNF277	Zfp277	ZFP277	nonidentical_symbol	11179	246196	HGNC:13070	MGI:1890393	True
C9orf78	C9ORF78	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.2024204839430649	0.3658147763085724	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.2024204839430649	51630673	C9orf78	BC005624	BC005624	nonidentical_symbol	51759	227707	HGNC:24932	MGI:2385132	True
RMP24	RMP24	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.030093938344890565	0.23560741696853615	0.19790888722927558	4	2	0.2047379835013634	0.10642276028215444	True	False	1.0	0.19790888722927558	51625672	RMP24	2700062C07Rik	2700062C07RIK	nonidentical_symbol	83608	68046	HGNC:28802	MGI:1915296	False
C3orf38	C3ORF38	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.22525511655589364	0.19514257094072185	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.19514257094072185	51631085	C3orf38	4930453N24Rik	4930453N24RIK	nonidentical_symbol	285237	67609	HGNC:28384	MGI:1914859	True
ZNF512	ZNF512	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.19049304768103753	0.3599196847721574	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.19049304768103753	51625254	ZNF512	Zfp512	ZFP512	nonidentical_symbol	84450	269639	HGNC:29380	MGI:1917345	True
STX5	STX5	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.18053215019560087	0.3556407648344685	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.18053215019560087	51627690	STX5	Stx5a	STX5A	nonidentical_symbol	6811	56389	HGNC:11440	MGI:1928483	True
ZNF281	ZNF281	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.18004045480336311	0.2420380910519792	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.18004045480336311	51620220	ZNF281	Zfp281	ZFP281	nonidentical_symbol	23528	226442	HGNC:13075	MGI:3029290	True
SIAH1	SIAH1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.1698676338426976	0.27586311082463844	2	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.1698676338426976	51621831	SIAH1	Siah1b	SIAH1B	nonidentical_symbol	6477	20438	HGNC:10857	MGI:108063	True
TXN	TXN	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.14819667913174167	0.863518325126511	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.14819667913174167	51619509	TXN	Txn1	TXN1	nonidentical_symbol	7295	22166	HGNC:12435	MGI:98874	True
POT1	POT1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2910334175182895	0.1475133430324075	4	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.1475133430324075	51631324	POT1	Pot1a	POT1A	nonidentical_symbol	25913	101185	HGNC:17284	MGI:2141503	True
MRE11	MRE11	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	5	10	1.0	0.5	0.5	0.005744073222698901	0.274564390614467	0.1460882461994809	3	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.1460882461994809	51620178	MRE11	Mre11a	MRE11A	nonidentical_symbol	4361	17535	HGNC:7230	MGI:1100512	True
ZNF800	ZNF800	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.24176220906422768	0.14256414224223501	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.14256414224223501	51622331	ZNF800	Zfp800	ZFP800	nonidentical_symbol	168850	627049	HGNC:27267	MGI:1889334	True
DYNLT1	DYNLT1	mgi_one_to_one_ortholog_gene	3	3	1.0	0.5	0.5	0.30962837708843105	6	12	1.0	0.5	0.5	0.009879767867540601	0.13745047137587102	0.7149021552727937	2	2	0.5320355913733621	0.03613674988490279	True	False	1.0	0.13745047137587102	51632682	DYNLT1	Dynlt1f	DYNLT1F	nonidentical_symbol	6993	100040531	HGNC:11697	MGI:3780996	True
ZNF32	ZNF32	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.1363971021072686	0.42119165228277744	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.1363971021072686	51636378	ZNF32	Zfp637	ZFP637	nonidentical_symbol	7580	232337	HGNC:13095	MGI:2448537	True
C1orf35	C1ORF35	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1350375180136158	0.25624905097319794	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.1350375180136158	51630557	C1orf35	2310033P09Rik	2310033P09RIK	nonidentical_symbol	79169	67862	HGNC:19032	MGI:1915112	True
MFAP1	MFAP1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.12602676915352443	0.2553121628209093	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.12602676915352443	51629589	MFAP1	Mfap1a	MFAP1A	nonidentical_symbol	4236	67532	HGNC:7032	MGI:1914782	True
C19orf25	C19ORF25	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.12519422389013585	0.2259150555161311	5	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.12519422389013585	51621375	C19orf25	2310011J03Rik	2310011J03RIK	nonidentical_symbol	148223	66374	HGNC:26711	MGI:1913624	True
ZNF827	ZNF827	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.5717392591861412	0.11523332162076227	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.11523332162076227	51625126	ZNF827	Zfp827	ZFP827	nonidentical_symbol	152485	622675	HGNC:27193	MGI:2444807	True
ZNF260	ZNF260	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1131720103915759	0.2797609544346315	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.1131720103915759	51626470	ZNF260	Zfp260	ZFP260	nonidentical_symbol	339324	26466	HGNC:13499	MGI:1347071	True
C17orf75	C17ORF75	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.11155656749317086	0.18616750870037985	5	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.11155656749317086	51628035	C17orf75	5730455P16Rik	5730455P16RIK	nonidentical_symbol	64149	70591	HGNC:30173	MGI:1917841	True
C1orf159	C1ORF159	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.23169804802211091	0.11122000905664323	4	2	0.2047379835013634	0.015247217002160102	True	False	1.0	0.11122000905664323	51622355	C1orf159	9430015G10Rik	9430015G10RIK	nonidentical_symbol	54991	230996	HGNC:26062	MGI:2444364	True
KIAA1143	KIAA1143	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.10827601471743255	0.2069293117590788	5	2	0.2047379835013634	0.005366742498130141	True	False	1.0	0.10827601471743255	51619166	KIAA1143	1110059G10Rik	1110059G10RIK	nonidentical_symbol	57456	66202	HGNC:29198	MGI:1913452	True
C8orf33	C8ORF33	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.10400897995333094	0.3279371798487135	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.10400897995333094	51630722	C8orf33	1110038F14Rik	1110038F14RIK	nonidentical_symbol	65265	117171	HGNC:26104	MGI:2152337	True
C2orf49	C2ORF49	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.1018242053143397	0.12412689534209898	4	3	0.2047379835013634	0.015247217002160102	True	False	1.0	0.1018242053143397	51619809	C2orf49	AI597479	AI597479	nonidentical_symbol	79074	98404	HGNC:28772	MGI:2138299	True
ZNF426	ZNF426	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.09670074063084388	0.13919735047730372	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.09670074063084388	51636396	ZNF426	Zfp426	ZFP426	nonidentical_symbol	79088	235028	HGNC:20725	MGI:1920248	True
KIAA1328	KIAA1328	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.43044912765589916	0.09373216860705949	3	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.09373216860705949	51620665	KIAA1328	AW554918	AW554918	nonidentical_symbol	57536	225289	HGNC:29248	MGI:2147376	True
ZNF25	ZNF25	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.27360883865541297	0.08993055447956144	5	3	0.2047379835013634	0.005366742498130141	True	False	1.0	0.08993055447956144	51636360	ZNF25	Zfp9	ZFP9	nonidentical_symbol	219749	22750	HGNC:13043	MGI:99210	True
ZNF592	ZNF592	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.17954441039164412	0.08567369657181263	4	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.08567369657181263	51628053	ZNF592	Zfp592	ZFP592	nonidentical_symbol	9640	233410	HGNC:28986	MGI:2443541	True
ZNF48	ZNF48	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.0836357159179054	0.24354971660897617	5	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.0836357159179054	51636411	ZNF48	Zfp553	ZFP553	nonidentical_symbol	197407	233887	HGNC:13114	MGI:2384725	True
