dataset	tier	status	local_outputs	libraries	cells_or_barcodes	nnz	total_counts	next_action
primary_core_genomewide_symbol_pseudobulk	strict_core_full_matrix_symbol_discovery	full_matrix_expression_complete;coverage_complete;statistics_complete;shared_hits_complete;branch_specific_complete;plot_complete;mechanism_triage_complete;cross_screen_consensus_complete	Project/results/primary_core_genomewide_symbol_pseudobulk_expression.tsv.gz;Project/results/primary_core_genomewide_symbol_pseudobulk_coverage.tsv;Project/results/primary_core_genomewide_symbol_pseudobulk_statistics.tsv;Project/results/primary_core_genomewide_symbol_pseudobulk_shared_hits.tsv;Project/results/primary_core_genomewide_symbol_pseudobulk_branch_specific.tsv;Project/results/primary_core_genomewide_symbol_pseudobulk_shared_hits.png;Project/results/primary_core_genomewide_symbol_pseudobulk_analysis.md;Project/results/primary_core_genomewide_symbol_mechanism_triage.tsv;Project/results/primary_core_genomewide_symbol_mechanism_triage.md;Project/results/primary_core_cross_screen_mechanism_consensus.tsv;Project/results/primary_core_cross_screen_mechanism_consensus.md	8	33939	628339	0	Use as the broadest full-matrix same-symbol evidence layer; next step is curated ortholog-aware mixed-effect/pseudobulk DE and optional full-object export for GSE325391/GSE268609.
GSE233363	core_validation_after_human_dentate	source_listing_saved;not_downloaded	External_Data/GEO/GSE233363/supplementary_listing.html	0	0	0	0	Use as optional mouse DG aging/neurogenic-lineage validation when the manuscript moves beyond the built human bridge.
spatial_DG_lifespan	supporting_spatial_context	article_pdf_present;zenodo_metadata_saved;data_not_downloaded	External_Data/Zenodo/spatial_DG_lifespan/zenodo_10126687.json	0	0	0	0	Keep as spatial/lifespan context; download large archive only if spatial layer becomes active.
GSE198323	supporting_disease_context	source_listing_saved;not_downloaded	External_Data/GEO/GSE198323/supplementary_listing.html	0	0	0	0	Analyze after healthy/reference human imGC branch is defined.
primary_core_consensus_candidate_dataset_validation	strict_core_dataset_aware_mechanism_validation	dataset_deltas_complete;validation_summary_complete;heatmap_complete	Project/results/primary_core_consensus_candidate_dataset_deltas.tsv;Project/results/primary_core_consensus_candidate_dataset_validation.tsv;Project/results/primary_core_consensus_candidate_dataset_validation_heatmap.png;Project/results/primary_core_consensus_candidate_dataset_validation.md	24	1608	96	0	Use as dataset-aware validation of the cross-screen mechanism shortlist; robust all-available genes are GABRA2, GPM6A, KCNK1, NFIA, NFIB, RFX3.
primary_core_mgi_ortholog_meta_model	strict_core_ortholog_meta_model	mgi_report_downloaded;ortholog_map_complete;unit_deltas_complete;branch_summary_complete;gene_summary_complete;shared_hits_complete;mechanism_hits_complete;plot_complete	External_Data/Orthology/HOM_MouseHumanSequence.rpt;Project/results/primary_core_mgi_ortholog_meta_model_map.tsv;Project/results/primary_core_mgi_ortholog_meta_model_unit_deltas.tsv.gz;Project/results/primary_core_mgi_ortholog_meta_model_branch_summary.tsv;Project/results/primary_core_mgi_ortholog_meta_model_gene_summary.tsv;Project/results/primary_core_mgi_ortholog_meta_model_shared_hits.tsv;Project/results/primary_core_mgi_ortholog_meta_model_mechanism_hits.tsv;Project/results/primary_core_mgi_ortholog_meta_model_top_hits.png;Project/results/primary_core_mgi_ortholog_meta_model.md	16245	241690	33829	36	Use as the current strongest ortholog-aware evidence layer; next extract non-identical one-to-one mouse/human symbols before final mixed-effect or pseudobulk DE.
primary_core_mgi_ortholog_expanded_meta_model	strict_core_expanded_ortholog_rank_model	full_matrix_ortholog_expression_complete;statistics_complete;nonidentical_hits_complete;expanded_meta_model_complete;mechanism_hits_complete;plot_complete	Project/results/primary_core_mgi_ortholog_full_matrix_expression.tsv.gz;Project/results/primary_core_mgi_ortholog_full_matrix_statistics.tsv;Project/results/primary_core_mgi_ortholog_full_matrix_nonidentical_symbol_hits.tsv;Project/results/primary_core_mgi_ortholog_expanded_meta_model_unit_deltas.tsv.gz;Project/results/primary_core_mgi_ortholog_expanded_meta_model_gene_summary.tsv;Project/results/primary_core_mgi_ortholog_expanded_meta_model_shared_hits.tsv;Project/results/primary_core_mgi_ortholog_expanded_meta_model_mechanism_hits.tsv;Project/results/primary_core_mgi_ortholog_expanded_meta_model.md	17611	508917	252469	36	Use as the complete rank-based MGI ortholog evidence layer feeding the formal rank-meta validation.
primary_core_mgi_ortholog_formal_rank_model	strict_core_formal_ortholog_rank_validation	dataset_deltas_complete;branch_tests_complete;gene_summary_complete;shared_hits_complete;mechanism_models_complete;plot_complete	Project/results/primary_core_mgi_ortholog_formal_rank_dataset_deltas.tsv.gz;Project/results/primary_core_mgi_ortholog_formal_rank_branch_tests.tsv;Project/results/primary_core_mgi_ortholog_formal_rank_gene_summary.tsv;Project/results/primary_core_mgi_ortholog_formal_rank_shared_hits.tsv;Project/results/primary_core_mgi_ortholog_formal_rank_mechanism_model_long.tsv;Project/results/primary_core_mgi_ortholog_formal_rank_mechanism_hits.tsv;Project/results/primary_core_mgi_ortholog_formal_rank_model.md	17611	116013	36303	36	Use as the current strongest statistical evidence layer for manuscript mechanism claims; next move into manuscript packaging, pathway/regulatory interpretation, and external/raw-count validation if needed.
primary_core_manuscript_candidate_tiers	manuscript_candidate_packet	tier_packet_complete;manuscript_summary_complete	Project/results/primary_core_manuscript_candidate_tiers.tsv;Project/results/primary_core_manuscript_candidate_tiers.md	66	5	0	0	Use for Results drafting and figure planning; central claims should focus on Tier 1 and Tier 2.
primary_core_mechanism_axis_model	manuscript_mechanism_axis_model	gene_axis_table_complete;axis_summary_complete;branch_summary_complete;plot_complete;report_complete	Project/results/primary_core_mechanism_axis_gene_table.tsv;Project/results/primary_core_mechanism_axis_summary.tsv;Project/results/primary_core_mechanism_axis_branch_summary.tsv;Project/results/primary_core_mechanism_axis_model.png;Project/results/primary_core_mechanism_axis_model.md	66	5	20	0	Use as the current biological interpretation layer for Results drafting and figure planning.
primary_core_granule_specificity_named_comparators	named_comparator_specificity_audit	units_complete;axis_summary_complete;gene_coverage_complete;plot_complete;report_complete	Project/results/primary_core_granule_specificity_named_comparator_units.tsv;Project/results/primary_core_granule_specificity_named_comparator_axis_summary.tsv;Project/results/primary_core_granule_specificity_named_comparator_gene_coverage.tsv;Project/results/primary_core_granule_specificity_named_comparators.png;Project/results/primary_core_granule_specificity_named_comparators.md	192	4	0	0	Use to temper uniqueness claims; current evidence supports convergent/shared but not uniquely granule-specific pathway axes.
primary_core_niche_circuit_module_model	manuscript_causal_model_layer	gene_sets_complete;formal_gene_scores_complete;formal_summary_complete;named_comparator_units_complete;named_comparator_summary_complete;plot_complete;report_complete	Project/results/primary_core_niche_circuit_module_gene_sets.tsv;Project/results/primary_core_niche_circuit_module_formal_gene_scores.tsv;Project/results/primary_core_niche_circuit_module_formal_summary.tsv;Project/results/primary_core_niche_circuit_module_named_comparator_units.tsv;Project/results/primary_core_niche_circuit_module_named_comparator_summary.tsv;Project/results/primary_core_niche_circuit_module_model.png;Project/results/primary_core_niche_circuit_module_model.md	92	5	240	0	Use as current niche-versus-circuit model; downstream modules show formal convergence while upstream fate/niche modules remain branch-specific or mixed.
primary_core_transcriptomic_configuration_model	manuscript_configuration_model_layer	units_complete;role_summary_complete;contrast_summary_complete;plot_complete;report_complete	Project/results/primary_core_transcriptomic_configuration_units.tsv;Project/results/primary_core_transcriptomic_configuration_role_summary.tsv;Project/results/primary_core_transcriptomic_configuration_contrasts.tsv;Project/results/primary_core_transcriptomic_configuration_model.png;Project/results/primary_core_transcriptomic_configuration_model.md	48	4	0	0	Use as current transcriptomic assembly-plan test; combined configuration score is positive in 4/4 named granule-versus-comparator contrasts but needs broader validation.
primary_core_transcriptomic_configuration_primary_validation	manuscript_configuration_validation	units_complete;contrasts_complete;summary_complete;coverage_complete;plot_complete;report_complete	Project/results/primary_core_transcriptomic_configuration_primary_units.tsv.gz;Project/results/primary_core_transcriptomic_configuration_primary_contrasts.tsv;Project/results/primary_core_transcriptomic_configuration_primary_summary.tsv;Project/results/primary_core_transcriptomic_configuration_primary_coverage.tsv;Project/results/primary_core_transcriptomic_configuration_primary_validation.png;Project/results/primary_core_transcriptomic_configuration_primary_validation.md	210	63	10	7	Use as broader primary-core validation of the transcriptomic assembly-plan model; 52/63 candidate-background contrasts are positive.
primary_core_configuration_driver_audit	manuscript_claim_audit	contrasts_complete;module_deltas_complete;summary_complete;gene_priorities_complete;plot_complete;report_complete	Project/results/primary_core_configuration_driver_audit_contrasts.tsv;Project/results/primary_core_configuration_driver_audit_module_deltas.tsv;Project/results/primary_core_configuration_driver_audit_summary.tsv;Project/results/primary_core_configuration_driver_audit_gene_priorities.tsv;Project/results/primary_core_configuration_driver_audit.png;Project/results/primary_core_configuration_driver_audit.md	67	504	92	0	Use to keep the manuscript claim honest: configuration support is strong but identity-coupled, with selective downstream construction-balance support.
manuscript_planning_packet	manuscript_packaging	packet_complete;claim_table_complete;figure_plan_complete	Project/results/manuscript_planning_packet.md;Project/results/manuscript_claim_evidence_caveat_table.tsv;Project/results/manuscript_figure_plan.tsv	5	9	14	0	Use as the current manuscript drafting scaffold and claim-strength guardrail.
specific_aims_completion_audit	manuscript_project_management	audit_complete;all_aims_first_pass_complete	Project/results/specific_aims_completion_audit.md	3	3	0	0	Use to guide manuscript figure assembly; all three original aims now have first-pass computational completion with optional validation upgrades.
primary_core_aim2_niche_pathway_model	specific_aim_2_completion_layer	pathway_gene_sets_complete;pathway_units_complete;pathway_contrasts_complete;signature_contrasts_complete;ligand_receptor_pairs_complete;plot_complete;report_complete	Project/results/primary_core_aim2_pathway_gene_sets.tsv;Project/results/primary_core_aim2_pathway_units.tsv.gz;Project/results/primary_core_aim2_pathway_contrasts.tsv;Project/results/primary_core_aim2_signature_contrasts.tsv;Project/results/primary_core_aim2_ligand_receptor_pairs.tsv;Project/results/primary_core_aim2_ligand_receptor_contrasts.tsv;Project/results/primary_core_aim2_niche_pathway_model.png;Project/results/primary_core_aim2_niche_pathway_model.md	1878	566	252	285	Use as the first completed Aim 2 pathway-readiness layer; direct spatial sender-receiver signaling remains an optional validation upgrade.
primary_core_aim3_sparse_coding_model	specific_aim_3_completion_layer	parameter_grid_complete;architecture_summary_complete;transcriptomic_mapping_complete;plot_complete;report_complete	Project/results/primary_core_aim3_sparse_coding_parameter_grid.tsv;Project/results/primary_core_aim3_sparse_coding_architecture_summary.tsv;Project/results/primary_core_aim3_transcriptomic_parameter_mapping.tsv;Project/results/primary_core_aim3_sparse_coding_model.png;Project/results/primary_core_aim3_sparse_coding_model.md	450	7	4	0	Use as the first completed Aim 3 computational layer; direct morphology/connectomics/activity validation remains optional.
manuscript_figure_assembly	manuscript_packaging	figures_complete;trajectory_revision_complete;integrated_working_model_complete;manifest_complete;report_complete	Project/results/manuscript_figures/manuscript_figure_manifest.tsv;Project/results/manuscript_figures/manuscript_figure_assembly.md	6	10	0	0	Use as the current figure set for manuscript drafting; Fig5 now includes stage-windowed pseudotime logic and Fig6 integrates Fig1/2/4/5 flow charts into one working model, while final journal sizing and typography still need polish.
primary_core_aim2b_stage_resolved_tgf_bdnf	specific_aim_2_stage_refinement	gene_units_complete;pathway_units_complete;signature_units_complete;transition_table_complete;plot_complete;report_complete	Project/results/primary_core_aim2b_stage_tgf_bdnf_gene_units.tsv;Project/results/primary_core_aim2b_stage_tgf_bdnf_pathway_units.tsv;Project/results/primary_core_aim2b_stage_tgf_bdnf_signature_units.tsv;Project/results/primary_core_aim2b_stage_tgf_bdnf_transitions.tsv;Project/results/primary_core_aim2b_stage_tgf_bdnf_plot.png;Project/results/primary_core_aim2b_stage_tgf_bdnf.md	3305	261	116	112	Use as the stage-aware Aim 2 refinement; supports TGF-beta/BDNF as a timing/state-sensitive maturation-readiness axis rather than a universal granule-cell stop switch.
cerebellar_conditioned_medium_secretome_candidates	specific_aim_2_conditioned_medium_followup	secretome_units_complete;candidate_contrasts_complete;ranked_candidates_complete;plot_complete;report_complete	Project/results/cerebellar_conditioned_medium_secretome_units.tsv;Project/results/cerebellar_conditioned_medium_secretome_candidate_contrasts.tsv;Project/results/cerebellar_conditioned_medium_secretome_ranked_candidates.tsv;Project/results/cerebellar_conditioned_medium_secretome_candidates.png;Project/results/cerebellar_conditioned_medium_secretome_candidates.md	1113	371	68	0	Use as a sequencing-derived validation list for possible cerebellar conditioned-medium factors beyond TGF-beta2/BDNF; top classes are WNT antagonists, BMP/GDF/activin, Reelin/guidance, and matricellular/context factors.
primary_core_2005_endpoint_pseudotime_audit	specific_aim_2_paper_endpoint_trajectory_layer	gene_units_complete;module_units_complete;trajectory_scores_complete;correlations_complete;plot_complete;report_complete	Project/results/primary_core_2005_endpoint_pseudotime_gene_units.tsv;Project/results/primary_core_2005_endpoint_pseudotime_module_units.tsv;Project/results/primary_core_2005_endpoint_pseudotime_trajectory_scores.tsv;Project/results/primary_core_2005_endpoint_pseudotime_correlations.tsv;Project/results/primary_core_2005_endpoint_pseudotime_audit.png;Project/results/primary_core_2005_endpoint_pseudotime_audit.md	2709	261	29	60	Use as the stage/module pseudotime audit of the 2005 paper endpoints; shows stage dependence but not simple monotonic age dependence.
primary_core_2005_endpoint_graph_pseudotime	specific_aim_2_cell_trajectory_layer	cell_scores_complete;group_summary_complete;bin_summary_complete;module_correlations_complete;plot_complete;report_complete	Project/results/primary_core_2005_endpoint_graph_pseudotime_cell_scores.tsv.gz;Project/results/primary_core_2005_endpoint_graph_pseudotime_group_summary.tsv;Project/results/primary_core_2005_endpoint_graph_pseudotime_bin_summary.tsv;Project/results/primary_core_2005_endpoint_graph_pseudotime_module_correlations.tsv;Project/results/primary_core_2005_endpoint_graph_pseudotime.png;Project/results/primary_core_2005_endpoint_graph_pseudotime.md	19192	16	27	0	Use as the first cell-level graph pseudotime overlay for 2005 endpoint modules; strongest current trajectory evidence is adult dentate maturation and cerebellar TGF/SMAD rise.
primary_core_full_transcriptome_diffusion	specific_aim_2_full_trajectory_refinement	cell_scores_complete;dataset_summary_complete;group_summary_complete;module_correlations_complete;fig_impact_complete;plot_complete;report_complete	Project/results/primary_core_full_transcriptome_diffusion_cell_scores.tsv.gz;Project/results/primary_core_full_transcriptome_diffusion_dataset_summary.tsv;Project/results/primary_core_full_transcriptome_diffusion_group_summary.tsv;Project/results/primary_core_full_transcriptome_diffusion_module_correlations.tsv;Project/results/primary_core_full_transcriptome_diffusion_fig1_5_impact.tsv;Project/results/primary_core_full_transcriptome_diffusion_overview.png;Project/results/primary_core_full_transcriptome_diffusion.md	56892	10	160	5	Use as the full primary-core trajectory refinement; ordered anchors validate pseudotime, Fig1-4 are refined rather than overturned, and Fig5 should be revised to include an explicit pseudotime/stage-window layer.
