target_source	target_set	target_label	model_term_supported	gene	mouse_symbol	priority	is_tf_or_regulatory_candidate	recommended_epigenomic_signal	rationale	current_evidence_source	present_as_gse268609_gene_expression_feature	gse268609_feature_id	gse268609_feature_name	gse268609_feature_row_1based	gse268609_chrom	gse268609_start	gse268609_end	gse268609_promoter_gene_window_plusminus_2kb	n_matching_gene_rows
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	KCNJ3	Kcnj3	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	inward-rectifier potassium-channel candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000162989	KCNJ3	5025	chr2	154697854	154698695	chr2:154695854-154700695	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	KCNJ6	Kcnj6	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	inward-rectifier potassium-channel candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000157542	KCNJ6	34180	chr21	37916456	38121345	chr21:37914456-38123345	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	PPP3CA	Ppp3ca	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	calcineurin/synaptic plasticity signaling candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000138814	PPP3CA	8697	chr4	101346841	101347526	chr4:101344841-101349526	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	ROBO2	Robo2	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	axon guidance and neurite-patterning executor	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000185008	ROBO2	6741	chr3	75906694	77477410	chr3:75904694-77479410	1
manuscript_candidate_tier	Tier 2 high-confidence wiring/synaptic executor	Tier 2 high-confidence wiring/synaptic executor	ConstructionBalance	STXBP5L	Stxbp5l	high	False	candidate gene promoter/gene-body accessibility; linked enhancer accessibility; motif support for regulatory candidates	synaptic vesicle/exocytosis regulatory candidate	Project/results/primary_core_manuscript_candidate_tiers.tsv	True	ENSG00000145087	STXBP5L	7003	chr3	120908071	120908314	chr3:120906071-120910314	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	ATOH1	Atoh1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000172238	ATOH1	8644	chr4	93828752	93828753	chr4:93826752-93830753	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	BARHL1	Barhl1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000125492	BARHL1	17346	chr9	132582605	132582659	chr9:132580605-132584659	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	EN1	En1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000163064	EN1	4775	chr2	118847677	118847678	chr2:118845677-118849678	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	EN2	En2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000164778	EN2	14659	chr7	155458128	155458129	chr7:155456128-155460129	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	GLI1	Gli1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000111087	GLI1	21961	chr12	57459784	57460151	chr12:57457784-57462151	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	GLI2	Gli2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000074047	GLI2	4798	chr2	120792408	120797291	chr2:120790408-120799291	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	MEIS1	Meis1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000143995	MEIS1	4112	chr2	66435124	66439321	chr2:66433124-66441321	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	MYCN	Mycn	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000134323	MYCN	3596	chr2	15940549	15940566	chr2:15938549-15942566	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	PAX6	Pax6	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000007372	PAX6	19445	chr11	31804045	31817961	chr11:31802045-31819961	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	PTCH1	Ptch1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000185920	PTCH1	16873	chr9	95507198	95517057	chr9:95505198-95519057	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	ZIC1	Zic1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000152977	ZIC1	7298	chr3	147409364	147409365	chr3:147407364-147411365	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	ZIC2	Zic2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000043355	ZIC2	23525	chr13	99981783	99981784	chr13:99979783-99983784	1
niche_circuit_module	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	FatePolarity	ZIC3	Zic3	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	cerebellar-specific upstream fate and progenitor-expansion logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000156925	ZIC3	36247	chrX	137566126	137566518	chrX:137564126-137568518	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	BCL11B	Bcl11b	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000127152	BCL11B	24833	chr14	99271484	99272197	chr14:99269484-99274197	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	C1QL3	C1ql3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000165985	C1QL3	17710	chr10	16521144	16521879	chr10:16519144-16523879	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	CALB1	Calb1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000104327	CALB1	15630	chr8	90081520	90082879	chr8:90079520-90084879	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	DKK3	Dkk3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000050165	DKK3	19267	chr11	12009081	12009769	chr11:12007081-12011769	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	EMX2	Emx2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000170370	EMX2	18713	chr10	117542444	117542746	chr10:117540444-117544746	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	EOMES	Eomes	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000163508	EOMES	6183	chr3	27722322	27722711	chr3:27720322-27724711	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	GLIS3	Glis3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000107249	GLIS3	16233	chr9	4152146	4300068	chr9:4150146-4302068	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	LEF1	Lef1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000138795	LEF1	8753	chr4	108166300	108168956	chr4:108164300-108170956	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	LHX2	Lhx2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000106689	LHX2	17161	chr9	124011767	124011768	chr9:124009767-124013768	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	NEUROD1	Neurod1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000162992	NEUROD1	5263	chr2	181680875	181680876	chr2:181678875-181682876	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	NEUROD2	Neurod2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000171532	NEUROD2	29004	chr17	39607919	39607920	chr17:39605919-39609920	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	PROX1	Prox1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000117707	PROX1	2965	chr1	213987934	213988517	chr1:213985934-213990517	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	TBR1	Tbr1	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000136535	TBR1	5073	chr2	161416296	161417895	chr2:161414296-161419895	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	TCF7L2	Tcf7l2	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000148737	TCF7L2	18667	chr10	112950246	112950757	chr10:112948246-112952757	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	WNT3A	Wnt3a	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000154342	WNT3A	3112	chr1	228006997	228006998	chr1:228004997-228008998	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	WNT7A	Wnt7a	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000154764	WNT7A	6086	chr3	13880070	13880071	chr3:13878070-13882071	1
niche_circuit_module	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	FatePolarity	ZBTB20	Zbtb20	high	True	module-level promoter/gene-body accessibility plus linked enhancer accessibility	dentate-specific hippocampal granule fate and WNT-associated identity logic	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000181722	ZBTB20	6946	chr3	114383640	115147271	chr3:114381640-115149271	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	BASP1	Basp1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000176788	BASP1	9567	chr5	17216822	17217631	chr5:17214822-17219631	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	CADM3	Cadm3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000162706	CADM3	2261	chr1	159171608	159171615	chr1:159169608-159173615	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	CFL1	Cfl1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000172757	CFL1	20025	chr11	65856963	65861421	chr11:65854963-65863421	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	CNTN5	Cntn5	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000149972	CNTN5	20497	chr11	99020948	99844808	chr11:99018948-99846808	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	DCC	Dcc	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000187323	DCC	30570	chr18	52340196	52934772	chr18:52338196-52936772	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	DPYSL2	Dpysl2	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000092964	DPYSL2	15057	chr8	26514030	26578405	chr8:26512030-26580405	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	DPYSL3	Dpysl3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000113657	DPYSL3	10749	chr5	147453958	147510068	chr5:147451958-147512068	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	GAP43	Gap43	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000172020	GAP43	6955	chr3	115623323	115623510	chr3:115621323-115625510	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	GPM6A	Gpm6a	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000150625	GPM6A	9243	chr4	175787675	176002664	chr4:175785675-176004664	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	L1CAM	L1cam	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000198910	L1CAM	36381	chrX	153875846	153886173	chrX:153873846-153888173	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	MAP1B	Map1b	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000131711	MAP1B	9980	chr5	72107474	72107475	chr5:72105474-72109475	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	NCAM1	Ncam1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000149294	NCAM1	20627	chr11	112961246	112961480	chr11:112959246-112963480	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	NRP1	Nrp1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000099250	NRP1	17857	chr10	33334381	33336262	chr10:33332381-33338262	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	NRXN1	Nrxn1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000179915	NRXN1	3984	chr2	49973938	51032561	chr2:49971938-51034561	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	PLXNA2	Plxna2	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000076356	PLXNA2	2883	chr1	208244383	208244384	chr1:208242383-208246384	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	PLXNA4	Plxna4	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000221866	PLXNA4	14301	chr7	132576469	132648688	chr7:132574469-132650688	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	ROBO2	Robo2	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000185008	ROBO2	6741	chr3	75906694	77477410	chr3:75904694-77479410	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	RTN1	Rtn1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000139970	RTN1	24340	chr14	59630608	59870776	chr14:59628608-59872776	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	RTN3	Rtn3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000133318	RTN3	19915	chr11	63681445	63681573	chr11:63679445-63683573	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	STMN2	Stmn2	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000104435	STMN2	15544	chr8	79610813	79611735	chr8:79608813-79613735	1
niche_circuit_module	downstream_neurite_morphology	Downstream neurite/morphology	ConstructionBalance	STMN3	Stmn3	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent neurite, axon, adhesion, and morphology implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000197457	STMN3	33813	chr20	63652765	63653424	chr20:63650765-63655424	1
niche_circuit_module	downstream_synaptic_excitability	Downstream synaptic/excitability	ConstructionBalance	CACNA2D1	Cacna2d1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent sparse-coding, synaptic maturation, and excitability implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000153956	CACNA2D1	13797	chr7	82443714	82443777	chr7:82441714-82445777	1
niche_circuit_module	downstream_synaptic_excitability	Downstream synaptic/excitability	ConstructionBalance	CALM1	Calm1	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent sparse-coding, synaptic maturation, and excitability implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000198668	CALM1	24701	chr14	90397028	90399082	chr14:90395028-90401082	1
niche_circuit_module	downstream_synaptic_excitability	Downstream synaptic/excitability	ConstructionBalance	CALM2	Calm2	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent sparse-coding, synaptic maturation, and excitability implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000143933	CALM2	3962	chr2	47175538	47176921	chr2:47173538-47178921	1
niche_circuit_module	downstream_synaptic_excitability	Downstream synaptic/excitability	ConstructionBalance	CAMK2A	Camk2a	high	False	module-level promoter/gene-body accessibility plus linked enhancer accessibility	convergent sparse-coding, synaptic maturation, and excitability implementation	Project/results/primary_core_niche_circuit_module_gene_sets.tsv	True	ENSG00000070808	CAMK2A	10799	chr5	150289737	150290291	chr5:150287737-150292291	1
