dataset	core_branch	sample	source_layer	expression_scope	broad_class	n_cells	gene	canonical_gene	source_gene_symbol	detection_fraction	mean_expression	mean_log1p_expression	source_path	eligible_class	mean_log1p_rank_within_sample_gene	stage_label	stage_order	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	2432	BDNF	BDNF	Bdnf	0.0131578947368421	0.0148026315789473	0.0097872410404403	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.3333333333333333	adult_or_ctrl	200.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	1494	BDNF	BDNF	Bdnf	0.0220883534136546	0.0307898259705488	0.0182413371861997	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	1.0	perturbed_cKO	201.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2329	BDNF	BDNF	Bdnf	0.017174753112924	0.0206097037355088	0.0131456672306972	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.6666666666666666	perturbed_cKO	201.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3123	BDNF	BDNF	Bdnf	0.0147294268331732	0.0195325008005123	0.0121194248772729	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.3333333333333333	perturbed_cKO	201.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	353	BMP2	BMP2	Bmp2	0.0	0.0	0.0	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.3333333333333333	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2678	BMP2	BMP2	Bmp2	0.0026138909634055	0.0033607169529499	0.0021146230321642	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.6666666666666666	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4437	BMP2	BMP2	Bmp2	0.0056344376831192	0.0058598151904439	0.0039968773094673	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	1.0	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	319	BMP2	BMP2	Bmp2	0.006269592476489	0.006269592476489	0.0043457503483382	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.6666666666666666	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2082	BMP2	BMP2	Bmp2	0.0028818443804034	0.0038424591738712	0.0023870380881729	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.3333333333333333	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3687	BMP2	BMP2	Bmp2	0.0065093572009764	0.0130187144019528	0.006643807266317	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	1.0	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	499	BMP2	BMP2	Bmp2	0.0040080160320641	0.0040080160320641	0.0027781450122643	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.6666666666666666	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2697	BMP2	BMP2	Bmp2	0.0003707823507601	0.0003707823507601	0.0002570067410307	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.3333333333333333	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4972	BMP2	BMP2	Bmp2	0.0036202735317779	0.0046259050683829	0.0028934416240875	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	1.0	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	12154	BMP2	BMP2	BMP2	0.004113871976304	0.0041961494158301	0.002884879392472	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.3333333333333333	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	25064	BMP2	BMP2	BMP2	0.0060245770826683	0.0065831471433131	0.0043976999977022	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	1.0	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	36332	BMP2	BMP2	BMP2	0.0052020257624133	0.0057249807332379	0.0038030657138644	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.6666666666666666	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	596	BMP2	BMP2	Bmp2	0.0134228187919463	0.0151006711409395	0.0099842995848787	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	1.0	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	1829	BMP2	BMP2	Bmp2	0.0087479496992892	0.0092946965554948	0.0062853034429017	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.6666666666666666	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	2432	BMP2	BMP2	Bmp2	0.0049342105263157	0.0049342105263157	0.0034201341146049	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.3333333333333333	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	1494	BMP2	BMP2	Bmp2	0.0060240963855421	0.0073627844712182	0.0047183767344416	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.3333333333333333	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2329	BMP2	BMP2	Bmp2	0.0077286389008158	0.0081580077286389	0.0055311783418579	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	1.0	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3123	BMP2	BMP2	Bmp2	0.0060838936919628	0.0076849183477425	0.00486619339455	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.6666666666666666	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	353	BMP4	BMP4	Bmp4	0.0028328611898017	0.0084985835694051	0.0039271794932574	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.6666666666666666	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2678	BMP4	BMP4	Bmp4	0.0022404779686333	0.0026138909634055	0.0017043869273591	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.3333333333333333	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4437	BMP4	BMP4	Bmp4	0.0042821726391706	0.0076628352490421	0.0039522368060276	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	1.0	P0	0.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	319	BMP4	BMP4	Bmp4	0.0219435736677116	0.2727272727272727	0.0558384412983627	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	1.0	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2082	BMP4	BMP4	Bmp4	0.0062439961575408	0.0638808837656099	0.0112326559231235	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.3333333333333333	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3687	BMP4	BMP4	Bmp4	0.0301057770545158	0.2443721182533224	0.0524691726813292	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.6666666666666666	P8a	8.1	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	499	BMP4	BMP4	Bmp4	0.0280561122244488	0.2585170340681362	0.0554623384138534	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	1.0	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2697	BMP4	BMP4	Bmp4	0.003707823507601	0.0218761586948461	0.0051805334567043	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.3333333333333333	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4972	BMP4	BMP4	Bmp4	0.0275543041029766	0.1735720032180209	0.0451586238175049	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.6666666666666666	P8b	8.2	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	12154	BMP4	BMP4	BMP4	0.0098732927431298	0.0115188415336514	0.0075011667593961	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.3333333333333333	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	25064	BMP4	BMP4	BMP4	0.0107724225981487	0.0120092563038621	0.0079303223272689	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	1.0	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	36332	BMP4	BMP4	BMP4	0.0098260486623362	0.0119178685456347	0.0076101192374396	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.6666666666666666	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	596	BMP4	BMP4	Bmp4	0.0050335570469798	0.0050335570469798	0.0034889958753017	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	1.0	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	1829	BMP4	BMP4	Bmp4	0.0010934937124111	0.0010934937124111	0.0007579520837178	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.3333333333333333	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	2432	BMP4	BMP4	Bmp4	0.0012335526315789	0.0012335526315789	0.0008550335286512	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.6666666666666666	adult_or_ctrl	200.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	1494	BMP4	BMP4	Bmp4	0.0053547523427041	0.0060240963855421	0.003983027143633	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.3333333333333333	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2329	BMP4	BMP4	Bmp4	0.0047230571060541	0.0072992700729927	0.0041389102647924	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	0.6666666666666666	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cerebellum	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3123	BMP4	BMP4	Bmp4	0.0080051232788984	0.0115273775216138	0.0067469751785563	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	True	1.0	perturbed_cKO	201.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	12154	BMP6	BMP6	BMP6	0.0014809939114694	0.0015632713509955	0.0010599073850738	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.6666666666666666	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	25064	BMP6	BMP6	BMP6	0.0005585700606447	0.0005585700606447	0.0003871712626811	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.3333333333333333	aggregate	100.0	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	
