dataset	cell_id	species	region	platform	curated_group	developmental_stage	postnatal_day	Leiden	louvain	nGene	nCounts	percent_mito	count_matrix_present	gene_identifier_status	promotion_status	source_note	geo_accession	title	maturation_state	activity_state	timepoint	cell_state	cell_type	sex	mouseid	treatment	projection_label	quality_control
GSE292261	20210412_Blanca_Plate1_B7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3812.0	1160381.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5075.0	1114897.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_B9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4786.0	941615.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5378.0	1049116.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4482.0	1107715.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5381.0	1045740.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4953.0	939532.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4412.0	864434.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3882.0	1102250.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4105.0	1116690.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3564.0	1057563.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4654.0	1135398.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3315.0	1134392.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4440.0	1082582.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_C9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4977.0	1099532.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4922.0	875450.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4973.0	663712.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5368.0	898357.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5766.0	842293.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3727.0	912239.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4793.0	841313.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3703.0	925342.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3295.0	835467.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4000.0	982903.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4482.0	1052013.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4558.0	922175.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_D9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4766.0	975814.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4929.0	965042.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	4877.0	1034133.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5591.0	919740.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5947.0	838844.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3410.0	1009237.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4446.0	1095808.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3370.0	1019885.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4601.0	1078348.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4367.0	908209.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3839.0	1099812.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3664.0	1092397.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_E9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5608.0	1085528.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3382.0	746155.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4596.0	968428.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4452.0	966003.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F12-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3909.0	721284.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3922.0	941591.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4608.0	949463.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5012.0	901148.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4666.0	994206.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3868.0	974603.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3142.0	884854.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5155.0	995129.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_F9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5208.0	978024.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G1-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3496.0	1027304.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G10-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4802.0	1107536.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G11-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden1	DG_P5	5	1.0	DG_P5	5283.0	887544.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G2-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4139.0	1011907.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G3-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3594.0	983562.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G4-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4174.0	1096869.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G5-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	4130.0	892229.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G6-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3680.0	695266.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G7-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3076.0	918893.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G8-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	3636.0	1125127.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
GSE292261	20210412_Blanca_Plate1_G9-E1	mouse	dentate_gyrus	Smart-seq2	DG_P5_Leiden2	DG_P5	5	2.0	DG_P5	5497.0	1050887.0	0.0	True	gene symbols already present in count matrix header	promote_to_primary_dentate_developmental_validation	filtered Smart-seq2 metadata; postnatal DG samples with QC metrics and clustering labels												
