dataset	sample	stage_label	stage_order	canonical_gene	source_gene_symbol	candidate_n_cells	candidate_detection_fraction	candidate_mean_log1p_expression	candidate_rank	background_median_rank	candidate_minus_background_rank	background_median_detection	candidate_minus_background_detection	background_classes	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles
GSE312658	Ctrl	adult_or_ctrl	200.0	BMP2	Bmp2	1829	0.0087479496992892	0.0062853034429017	0.6666666666666666	0.6666666666666666	0.0	0.009178514659131	-0.0004305649598417994	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cKO	perturbed_cKO	201.0	BMP2	Bmp2	2329	0.0077286389008158	0.0055311783418579	1.0	0.5	0.5	0.00605399503875245	0.0016746438620633495	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464549_P0	P0	0.0	BMP4	Bmp4	2678	0.0022404779686333	0.0017043869273591	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.00355751691448615	-0.00131703894585285	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	BMP4	Bmp4	2082	0.0062439961575408	0.0112326559231235	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0260246753611137	-0.019780679203572897	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	BMP4	Bmp4	2697	0.003707823507601	0.0051805334567043	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0278052081637127	-0.0240973846561117	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	BMP4	BMP4	25064	0.0107724225981487	0.0079303223272689	1.0	0.5	0.5	0.009849670702733	0.0009227518954156994	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	BMP4	Bmp4	1829	0.0010934937124111	0.0007579520837178	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.00313355483927935	-0.0020400611268682504	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cKO	perturbed_cKO	201.0	BMP4	Bmp4	2329	0.0047230571060541	0.0041389102647924	0.6666666666666666	0.6666666666666666	0.0	0.00667993781080125	-0.0019568807047471506	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	BMP6	BMP6	25064	0.0005585700606447	0.0003871712626811	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0015524533578045	-0.0009938832971598001	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	
GSE312658	Ctrl	adult_or_ctrl	200.0	BMP6	Bmp6	1829	0.2471295790049207	0.2897957245551021	1.0	0.5	0.5	0.09083721520664075	0.15629236379827993	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	
GSE312658	cKO	perturbed_cKO	201.0	BMP6	Bmp6	2329	0.2481751824817518	0.2798458831869448	1.0	0.5	0.5	0.0832716070815442	0.1649035754002076	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	
GSE122357	GSM3464549_P0	P0	0.0	BMP7	Bmp7	2678	0.0739357729648991	0.0638498329402133	1.0	0.5	0.5	0.0574195488491381	0.016516224115761	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	BMP7	Bmp7	2082	0.0144092219020172	0.0121180050749236	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0375231793822742	-0.023113957480257002	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	BMP7	Bmp7	2697	0.0207638116425658	0.016209933649546	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0350493827558576	-0.014285571113291803	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	BMP7	BMP7	25064	0.0171560804340887	0.0130298344514749	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.043886777637732854	-0.026730697203644155	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	BMP7	Bmp7	1829	0.0136686714051394	0.0099177745927911	1.0	0.5	0.5	0.0114069123101377	0.0022617590950016996	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	cKO	perturbed_cKO	201.0	BMP7	Bmp7	2329	0.004293688278231	0.0031502520024506	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.01384018301833655	-0.009546494740105549	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	CCN1	Ccn1	1829	0.0027337342810278	0.0018948802092945	0.6666666666666666	0.6666666666666666	0.0	0.002705812875309	2.7921405718799898e-05	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE312658	cKO	perturbed_cKO	201.0	CCN1	Ccn1	2329	0.0034349506225848	0.0023809263394072	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.004424036202446651	-0.0009890855798618506	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE312658	Ctrl	adult_or_ctrl	200.0	CCN2	Ccn2	1829	0.0010934937124111	0.0007579520837178	1.0	0.5	0.5	0.0004111842105263	0.0006823095018848001	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE312658	cKO	perturbed_cKO	201.0	CCN2	Ccn2	2329	0.0	0.0	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0004947744869969499	-0.0004947744869969499	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE312658	Ctrl	adult_or_ctrl	200.0	CCN3	Ccn3	1829	0.0016402405686167	0.0011369281255767	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0018668867008123499	-0.00022664613219564988	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE312658	cKO	perturbed_cKO	201.0	CCN3	Ccn3	2329	0.0034349506225848	0.0023809263394072	1.0	0.5	0.5	0.0019790979479878497	0.0014558526745969505	broad_neuronal_structural_warning,other_or_ambiguous	CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate	
GSE165657	Cerebellum_aggr	aggregate	100.0	CNTF	CNTF	25064	3.989786147462496e-05	2.765509019150755e-05	0.3333333333333333	0.8333333333333333	-0.49999999999999994	8.242463851235288e-05	-4.2526777037727916e-05	broad_neuronal_structural_warning,other_or_ambiguous	cytokine/neurotrophic	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophic cytokine candidate	
GSE312658	Ctrl	adult_or_ctrl	200.0	CNTF	Cntf	1829	0.0082012028430836	0.0056846406278836	1.0	0.5	0.5	0.00102796052631575	0.0071732423167678505	broad_neuronal_structural_warning,other_or_ambiguous	cytokine/neurotrophic	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophic cytokine candidate	
GSE312658	cKO	perturbed_cKO	201.0	CNTF	Cntf	2329	0.0030055817947617	0.0020833105469813	1.0	0.5	0.5	0.0024449382544587	0.0005606435403029998	broad_neuronal_structural_warning,other_or_ambiguous	cytokine/neurotrophic	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophic cytokine candidate	
GSE122357	GSM3464549_P0	P0	0.0	CXCL12	Cxcl12	2678	0.3864824495892457	0.4290917288934864	1.0	0.5	0.5	0.14580967029122216	0.24067277929802355	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE122357	GSM3464550_P8a	P8a	8.1	CXCL12	Cxcl12	2082	0.2334293948126801	0.2079279461268907	1.0	0.5	0.5	0.10876943730960165	0.12465995750307846	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE122357	GSM3464551_P8b	P8b	8.2	CXCL12	Cxcl12	2697	0.2206154987022617	0.1899495864829488	1.0	0.5	0.5	0.11114928972990223	0.10946620897235945	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE165657	Cerebellum_aggr	aggregate	100.0	CXCL12	CXCL12	25064	0.0304819661666134	0.0253819629825212	0.6666666666666666	0.6666666666666666	0.0	0.0195581164334379	0.010923849733175499	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE312658	Ctrl	adult_or_ctrl	200.0	CXCL12	Cxcl12	1829	0.1951886276653909	0.1619632929455695	1.0	0.5	0.5	0.0569352150300247	0.13825341263536622	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE312658	cKO	perturbed_cKO	201.0	CXCL12	Cxcl12	2329	0.1253756977243452	0.0973835423667991	1.0	0.5	0.5	0.0282040747041962	0.097171623020149	broad_neuronal_structural_warning,other_or_ambiguous	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate	
GSE122357	GSM3464549_P0	P0	0.0	DKK1	Dkk1	2678	0.0003734129947722	0.0002588301645108	0.6666666666666666	0.6666666666666666	0.0	0.00022537750732475	0.00014803548744745	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:antagonist
GSE165657	Cerebellum_aggr	aggregate	100.0	DKK1	DKK1	25064	0.0028327481646983	0.0022500794718801	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0058670888991836	-0.0030343407344853002	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:antagonist
GSE312658	Ctrl	adult_or_ctrl	200.0	DKK1	Dkk1	1829	0.0005467468562055	0.0003789760418589	0.6666666666666666	0.6666666666666666	0.0	0.00104451827975975	-0.00049777142355425	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:antagonist
GSE312658	cKO	perturbed_cKO	201.0	DKK1	Dkk1	2329	0.0	0.0	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.00130975390514985	-0.00130975390514985	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:antagonist
GSE122357	GSM3464549_P0	P0	0.0	DKK3	Dkk3	2678	0.0414488424197162	0.0318851520828633	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.12412331022735035	-0.08267446780763416	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE122357	GSM3464550_P8a	P8a	8.1	DKK3	Dkk3	2082	0.0124879923150816	0.0104903514430006	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.12286624274222824	-0.11037825042714663	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE122357	GSM3464551_P8b	P8b	8.2	DKK3	Dkk3	2697	0.014460511679644	0.0116963189589049	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.1062424527252413	-0.0917819410455973	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE165657	Cerebellum_aggr	aggregate	100.0	DKK3	DKK3	25064	0.0758857325247366	0.0592974646259019	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.09745499112448985	-0.021569258599753255	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE312658	Ctrl	adult_or_ctrl	200.0	DKK3	Dkk3	1829	0.050300710770913	0.0398290046510068	0.6666666666666666	0.6666666666666666	0.0	0.055349810137760455	-0.0050490993668474565	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE312658	cKO	perturbed_cKO	201.0	DKK3	Dkk3	2329	0.0489480463718334	0.0387746391482804	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0733741883962362	-0.024426142024402804	broad_neuronal_structural_warning,other_or_ambiguous	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator
GSE122357	GSM3464549_P0	P0	0.0	DLL1	Dll1	2678	0.0100821508588498	0.0072472446063026	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.05680438956214825	-0.046722238703298447	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	DLL1	Dll1	2082	0.0096061479346781	0.0071861459653539	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.08285784247457599	-0.0732516945398979	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	DLL1	Dll1	2697	0.0122358175750834	0.0100866768972981	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.07059694610459855	-0.058361128529515145	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	DLL1	DLL1	25064	0.0262128949888286	0.0211578624033201	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0525578487033925	-0.026344953714563902	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	DLL1	Dll1	1829	0.032258064516129	0.0252347225469898	0.6666666666666666	0.6666666666666666	0.0	0.06888853320381486	-0.03663046868768586	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	cKO	perturbed_cKO	201.0	DLL1	Dll1	2329	0.0506655216831258	0.0382470230708553	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0742750058832833	-0.0236094842001575	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464549_P0	P0	0.0	DLL3	Dll3	2678	0.1949215832710978	0.1624836309987712	1.0	0.5	0.5	0.12616894629949924	0.06875263697159856	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	DLL3	Dll3	2082	0.1791546589817483	0.1482506349507836	0.6666666666666666	0.6666666666666666	0.0	0.19693483755939908	-0.017780178577650796	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	DLL3	Dll3	2697	0.1297738227660363	0.1014374356136979	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.14090772050940176	-0.011133897743365456	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	DLL3	DLL3	25064	0.290855410150016	0.2732745133319286	1.0	0.5	0.5	0.20625161205535958	0.0846037980946564	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	DLL3	Dll3	1829	0.0213231273920174	0.0152234391788158	1.0	0.5	0.5	0.01534627781702575	0.005976849574991649	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	cKO	perturbed_cKO	201.0	DLL3	Dll3	2329	0.0068699012451696	0.0051100408351977	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.013112006141762	-0.0062421048965924	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464549_P0	P0	0.0	DLL4	Dll4	2678	0.0048543689320388	0.0035161980789348	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.011477014367337151	-0.006622645435298351	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	DLL4	Dll4	2082	0.005283381364073	0.0036621608963301	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.02836153119534615	-0.02307814983127315	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	DLL4	Dll4	2697	0.0066740823136818	0.0047764606444891	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0224681059625284	-0.0157940236488466	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	DLL4	DLL4	25064	0.0025135652729013	0.0018508117258369	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0041326387147537	-0.0016190734418524	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	DLL4	Dll4	1829	0.0098414434117003	0.0068215687534603	0.6666666666666666	0.6666666666666666	0.0	0.0106342171494171	-0.0007927737377167992	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE312658	cKO	perturbed_cKO	201.0	DLL4	Dll4	2329	0.0154572778016316	0.0107141685273327	1.0	0.5	0.5	0.007552785590006449	0.00790449221162515	broad_neuronal_structural_warning,other_or_ambiguous	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand
GSE122357	GSM3464549_P0	P0	0.0	FGF10	Fgf10	2678	0.0220313666915608	0.0160280094076092	0.6666666666666666	0.6666666666666666	0.0	0.02564132031634565	-0.0036099536247848514	broad_neuronal_structural_warning,other_or_ambiguous	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	FGF10	Fgf10	2082	0.0043227665706051	0.0031910613511756	0.6666666666666666	0.6666666666666666	0.0	0.01846188378552785	-0.01413911721492275	broad_neuronal_structural_warning,other_or_ambiguous	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	FGF10	Fgf10	2697	0.0033370411568409	0.0023130606692767	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.013234433468707299	-0.009897392311866399	broad_neuronal_structural_warning,other_or_ambiguous	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	FGF10	FGF10	25064	0.0028327481646983	0.0019796885943131	1.0	0.5	0.5	0.00163487799631685	0.00119787016838145	broad_neuronal_structural_warning,other_or_ambiguous	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand
