dataset	sample	source_group	specificity_role	cerebellar_fate_rank	dentate_fate_rank	neurite_morphology_rank	synaptic_excitability_rank	niche_rank	dataset_branch	downstream_mean_rank	downstream_construction_balance	branch_matched_fate_rank	branch_opposed_fate_rank	regional_fate_balance	configuration_score	granule_role	named_comparator_role
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	0.6875	0.5	0.5833333333333334	0.3541666666666667	1.0	dentate	0.46875	-0.53125	0.5	0.6875	-0.1875	-0.71875	False	False
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	0.2708333333333333	0.2291666666666666	0.9583333333333334	0.7916666666666666	0.7916666666666666	dentate	0.875	0.08333333333333337	0.2291666666666666	0.2708333333333333	-0.04166666666666671	0.04166666666666666	False	False
GSE104323	10X_all_cells	MOL	other_local_cell_type	0.2708333333333333	0.2291666666666666	0.2916666666666667	0.5	0.1458333333333333	dentate	0.39583333333333337	0.2500000000000001	0.2291666666666666	0.2708333333333333	-0.04166666666666671	0.2083333333333334	False	False
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	0.2708333333333333	0.0833333333333333	0.125	0.2083333333333333	0.1458333333333333	dentate	0.16666666666666663	0.020833333333333343	0.0833333333333333	0.2708333333333333	-0.1875	-0.16666666666666666	False	False
GSE104323	10X_all_cells	NFOL	other_local_cell_type	0.2708333333333333	0.375	0.5416666666666666	0.25	0.2916666666666667	dentate	0.3958333333333333	0.10416666666666663	0.375	0.2708333333333333	0.10416666666666669	0.20833333333333331	False	False
GSE104323	10X_all_cells	OPC	other_local_cell_type	0.2708333333333333	0.2291666666666666	0.4583333333333333	0.125	0.375	dentate	0.29166666666666663	-0.08333333333333337	0.2291666666666666	0.2708333333333333	-0.04166666666666671	-0.12500000000000008	False	False
GSE104323	10X_all_cells	PVM	other_local_cell_type	0.2708333333333333	0.0416666666666666	0.0416666666666666	0.2916666666666667	0.1458333333333333	dentate	0.16666666666666663	0.020833333333333343	0.0416666666666666	0.2708333333333333	-0.2291666666666667	-0.20833333333333337	False	False
GSE104323	10X_all_cells	RGL	other_local_cell_type	0.6875	0.5833333333333334	0.25	0.0416666666666666	0.6666666666666666	dentate	0.14583333333333331	-0.5208333333333333	0.5833333333333334	0.6875	-0.10416666666666663	-0.6249999999999999	False	False
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	0.9166666666666666	0.625	0.4166666666666667	0.1666666666666666	0.9166666666666666	dentate	0.29166666666666663	-0.625	0.625	0.9166666666666666	-0.29166666666666663	-0.9166666666666666	False	False
GSE104323	10X_all_cells	VLMC	other_local_cell_type	0.9166666666666666	0.2291666666666666	0.1666666666666666	0.3541666666666667	0.5833333333333334	dentate	0.26041666666666663	-0.32291666666666674	0.2291666666666666	0.9166666666666666	-0.6875	-1.0104166666666667	False	False
GSE104323	10X_all_cells	nIPC	other_local_cell_type	0.9166666666666666	0.9166666666666666	0.6666666666666666	0.625	0.7083333333333334	dentate	0.6458333333333333	-0.06250000000000011	0.9166666666666666	0.9166666666666666	0.0	-0.06250000000000011	False	False
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	1.0	0.75	0.625	0.5833333333333334	0.9583333333333334	dentate	0.6041666666666667	-0.35416666666666663	0.75	1.0	-0.25	-0.6041666666666666	False	False
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	0.2708333333333333	0.7916666666666666	0.9166666666666666	1.0	0.25	dentate	0.9583333333333333	0.7083333333333333	0.7916666666666666	0.2708333333333333	0.5208333333333333	1.2291666666666665	False	True
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	0.2708333333333333	0.875	1.0	0.8333333333333334	0.875	dentate	0.9166666666666667	0.04166666666666674	0.875	0.2708333333333333	0.6041666666666667	0.6458333333333335	False	True
GSE122357	P0	Granule cells	cerebellar_granule	0.875	1.0	1.0	1.0	0.625	cerebellar	1.0	0.375	0.875	1.0	-0.125	0.25	True	False
GSE122357	P0	Granule precursor	cerebellar_granule	1.0	0.625	0.5	0.625	0.375	cerebellar	0.5625	0.1875	1.0	0.625	0.375	0.5625	True	False
GSE122357	P0	Astrocytes	other_local_cell_type	0.625	0.4375	0.25	0.125	1.0	cerebellar	0.1875	-0.8125	0.625	0.4375	0.1875	-0.625	False	False
GSE122357	P0	Endothelial cells	other_local_cell_type	0.75	0.875	0.75	0.875	0.875	cerebellar	0.8125	-0.0625	0.75	0.875	-0.125	-0.1875	False	False
GSE122357	P0	Interneuron	other_local_cell_type	0.5	0.75	0.625	0.5	0.75	cerebellar	0.5625	-0.1875	0.5	0.75	-0.25	-0.4375	False	False
GSE122357	P0	Microglia	other_local_cell_type	0.1875	0.125	0.125	0.25	0.125	cerebellar	0.1875	0.0625	0.1875	0.125	0.0625	0.125	False	False
GSE122357	P0	Oligodendrocytes	other_local_cell_type	0.375	0.25	0.375	0.375	0.5	cerebellar	0.375	-0.125	0.375	0.25	0.125	0.0	False	False
GSE122357	P0	Purkinje cells	purkinje_comparator	0.1875	0.4375	0.875	0.75	0.25	cerebellar	0.8125	0.5625	0.1875	0.4375	-0.25	0.3125	False	True
GSE122357	P8a	Granule cells	cerebellar_granule	0.875	1.0	0.875	0.875	0.75	cerebellar	0.875	0.125	0.875	1.0	-0.125	0.0	True	False
GSE122357	P8a	Granule precursor	cerebellar_granule	1.0	0.625	0.625	0.75	0.25	cerebellar	0.6875	0.4375	1.0	0.625	0.375	0.8125	True	False
GSE122357	P8a	Astrocytes	other_local_cell_type	0.75	0.5	0.375	0.125	1.0	cerebellar	0.25	-0.75	0.75	0.5	0.25	-0.5	False	False
GSE122357	P8a	Endothelial cells	other_local_cell_type	0.4375	0.25	0.125	0.25	0.625	cerebellar	0.1875	-0.4375	0.4375	0.25	0.1875	-0.25	False	False
GSE122357	P8a	Interneuron	other_local_cell_type	0.625	0.75	0.75	0.5	0.5	cerebellar	0.625	0.125	0.625	0.75	-0.125	0.0	False	False
GSE122357	P8a	Microglia	other_local_cell_type	0.1875	0.125	0.25	0.375	0.125	cerebellar	0.3125	0.1875	0.1875	0.125	0.0625	0.25	False	False
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	0.1875	0.375	0.5	0.625	0.375	cerebellar	0.5625	0.1875	0.1875	0.375	-0.1875	0.0	False	False
GSE122357	P8a	Purkinje cells	purkinje_comparator	0.4375	0.875	1.0	1.0	0.875	cerebellar	1.0	0.125	0.4375	0.875	-0.4375	-0.3125	False	True
GSE122357	P8b	Granule cells	cerebellar_granule	0.875	0.875	0.875	0.875	0.75	cerebellar	0.875	0.125	0.875	0.875	0.0	0.125	True	False
GSE122357	P8b	Granule precursor	cerebellar_granule	1.0	0.625	0.75	0.75	0.25	cerebellar	0.75	0.5	1.0	0.625	0.375	0.875	True	False
GSE122357	P8b	Astrocytes	other_local_cell_type	0.75	0.5	0.375	0.125	1.0	cerebellar	0.25	-0.75	0.75	0.5	0.25	-0.5	False	False
GSE122357	P8b	Endothelial cells	other_local_cell_type	0.5	0.25	0.125	0.25	0.5	cerebellar	0.1875	-0.3125	0.5	0.25	0.25	-0.0625	False	False
GSE122357	P8b	Interneuron	other_local_cell_type	0.625	0.75	0.625	0.625	0.625	cerebellar	0.625	0.0	0.625	0.75	-0.125	-0.125	False	False
GSE122357	P8b	Microglia	other_local_cell_type	0.1875	0.125	0.25	0.375	0.125	cerebellar	0.3125	0.1875	0.1875	0.125	0.0625	0.25	False	False
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	0.1875	0.375	0.5	0.5	0.375	cerebellar	0.5	0.125	0.1875	0.375	-0.1875	-0.0625	False	False
GSE122357	P8b	Purkinje cells	purkinje_comparator	0.375	1.0	1.0	1.0	0.875	cerebellar	1.0	0.125	0.375	1.0	-0.625	-0.5	False	True
