tier_rank	manuscript_tier	gene	human_symbol	mouse_symbol	ortholog_symbol_class	mechanism_class	suggested_role	formal_rank_tier	ortholog_meta_tier	mechanism_hit_tier	formal_n_nominal_branches	formal_n_available_branches	formal_model_n_nominal_branches	formal_rank_priority_score	formal_fisher_q_bh_all_available_branches	nominal_branch_support	median_delta_selected_dentate	median_delta_selected_cerebellar	median_delta_full_matrix_dentate	median_delta_full_matrix_cerebellar	manuscript_use
2	Tier 2 high-confidence wiring/synaptic executor	CACNA2D1	CACNA2D1	Cacna2d1	same_symbol	synaptic_wiring	calcium-channel auxiliary subunit and wiring candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.450709484690066	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	KCNJ6	KCNJ6	Kcnj6	same_symbol	synaptic_wiring	inward-rectifier potassium-channel candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.29640116028924	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	GRIN2B	GRIN2B	Grin2b	same_symbol	synaptic_wiring	glutamatergic synapse maturation candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.19988828598787	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	KCNJ3	KCNJ3	Kcnj3	same_symbol	synaptic_wiring	inward-rectifier potassium-channel candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.17908787541713	0.2465821610814108	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
2	Tier 2 high-confidence wiring/synaptic executor	STXBP5L	STXBP5L	Stxbp5l	same_symbol	synaptic_wiring	synaptic vesicle/exocytosis regulatory candidate	formal_nominal_shared_both_screens	strict_shared_both_screens	consensus_figure_candidate	4	4	1.0	17.106796116504853	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as pathway-level support around the Tier 1 seed set.
3	Tier 3 broad both-screen mechanism support	DYNLL1	DYNLL1	Dynll1	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_both_screens	supported_shared_both_screens	selected_screen_mechanism_figure	4	4	4.0	17.845005077952493	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as supporting biology; screen for broad neuronal or housekeeping interpretation.
3	Tier 3 broad both-screen mechanism support	BASP1	BASP1	Basp1	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_both_screens	supported_shared_both_screens	selected_screen_mechanism_figure	4	4	4.0	17.785583530676586	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as supporting biology; screen for broad neuronal or housekeeping interpretation.
3	Tier 3 broad both-screen mechanism support	RFX7	RFX7	Rfx7	same_symbol	regulatory_morphogenesis_candidate	regulatory morphogenesis candidate	formal_nominal_shared_both_screens	supported_shared_both_screens	selected_screen_mechanism_figure	4	4	4.0	17.235019539730786	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as supporting biology; screen for broad neuronal or housekeeping interpretation.
3	Tier 3 broad both-screen mechanism support	MAPKAP1	MAPKAP1	Mapkap1	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_both_screens	supported_shared_both_screens	selected_screen_mechanism_figure	4	4	4.0	17.167926191170142	0.1784035244150857	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as supporting biology; screen for broad neuronal or housekeeping interpretation.
3	Tier 3 broad both-screen mechanism support	TUBA1A	TUBA1A	Tuba1a	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_both_screens	supported_shared_both_screens	selected_screen_mechanism_figure	4	4	2.0	17.646651128642855	0.2545380403183145	selected_dentate,selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as supporting biology; screen for broad neuronal or housekeeping interpretation.
4	Tier 4 screen-specific mechanism support	ACTB	ACTB	Actb	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	3.0	11.98357762063131	0.1841504540879091	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	RTN3	RTN3	Rtn3	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	3.0	11.869050606597911	0.1841504540879091	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	ACTG1	ACTG1	Actg1	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	3.0	11.757901126901446	0.1841504540879091	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	TUBA1B	TUBA1B	Tuba1b	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	3.0	11.568001301674574	0.1841504540879091	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	TCF4	TCF4	Tcf4	same_symbol	regulatory_morphogenesis_candidate	regulatory morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.964705551719154	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	MAP1B	MAP1B	Map1b	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_selected	strict_shared_selected_only	selected_screen_mechanism_figure	3	4	1.0	11.961538461538462	0.2891907709850533	selected_dentate,selected_cerebellar,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	STMN2	STMN2	Stmn2	same_symbol	curated_shared_structural_executor	shared structural-executor candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.535814152133446	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	CADM3	CADM3	Cadm3	same_symbol	axon_guidance_adhesion	axon-guidance or adhesion candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.388415844332489	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	KCNMB4	KCNMB4	Kcnmb4	same_symbol	synaptic_wiring	synaptic wiring or excitability candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.271783463107155	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	DCC	DCC	Dcc	same_symbol	axon_guidance_adhesion	axon-guidance or adhesion candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.216206123973114	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	MAP3K13	MAP3K13	Map3k13	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.06541199983345	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	SLC17A6	SLC17A6	Slc17a6	same_symbol	synaptic_wiring	synaptic wiring or excitability candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	selected_screen_mechanism_figure	3	4	1.0	11.039282715066362	0.2891907709850533	selected_cerebellar,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	MAPK14	MAPK14	Mapk14	same_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	full_matrix_mechanism_figure	2	2	1.0	7.216138328530259	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	FOXN2	FOXN2	Foxn2	same_symbol	regulatory_morphogenesis_candidate	regulatory morphogenesis candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	full_matrix_mechanism_figure	2	2	1.0	7.197886647454371	0.2891907709850533	full_dentate,full_cerebellar			0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	SEMA7A	SEMA7A	Sema7a	same_symbol	axon_guidance_adhesion	axon-guidance or adhesion candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	full_matrix_mechanism_figure	2	2	1.0	7.132448897714673	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
4	Tier 4 screen-specific mechanism support	BCL7A	BCL7A	Bcl7a	same_symbol	regulatory_morphogenesis_candidate	regulatory morphogenesis candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	full_matrix_mechanism_figure	2	2	0.0	7.459144589849984	0.2891907709850533	full_dentate,full_cerebellar			0.5	0.5	Use as follow-up or pathway context rather than as a central claim.
5	Tier 5 exploratory non-identical ortholog	ZNF706	ZNF706	Zfp706	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.539658474305778	0.2891907709850533	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	RAB7A	RAB7A	Rab7	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.453399297797638	0.2891907709850533	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF292	ZNF292	Zfp292	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.332661570679324	0.2891907709850533	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF148	ZNF148	Zfp148	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.321935844238748	0.2541862873319358	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C1orf21	C1orf21	1700025G04Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.2338014682413	0.2541862873319358	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF827	ZNF827	Zfp827	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.13776731567188	0.39078355203823	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	KIAA1328	KIAA1328	AW554918	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	3	4		11.058441243008424	0.39078355203823	selected_dentate,full_dentate,full_cerebellar	0.5	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF536	ZNF536	Zfp536	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	4		7.967634037001568	0.2891907709850533	full_dentate,full_cerebellar	0.25	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	TMEM178A	TMEM178A	Tmem178	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	4		7.887926907117778	0.2891907709850533	full_dentate,full_cerebellar	0.25	0.5	0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	TUBB	TUBB	Tubb5	nonidentical_symbol	cytoskeleton_morphogenesis	cytoskeleton/neurite morphogenesis candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.7121045059381235	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	MIR124-1HG	MIR124-1HG	Mir124a-1hg	nonidentical_symbol	unclassified	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	strict_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.579415965892156	0.4613715200449093	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C5orf34	C5orf34	4833420G17Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.339265850945495	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF280D	ZNF280D	Zfp280d	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.295369678864825	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF32	ZNF32	Zfp637	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.253511011809767	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	TP53I11	TP53I11	Trp53i11	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.249975711648693	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF821	ZNF821	Zfp821	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.209012545992234	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C16orf87	C16orf87	4921524J17Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.204516437918928	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF281	ZNF281	Zfp281	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.195978295563358	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C14orf119	C14orf119	1700123O20Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.19470156399617	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF410	ZNF410	Zfp410	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.176015865753341	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C9orf85	C9orf85	1110059E24Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.166542050326534	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C17orf75	C17orf75	5730455P16Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.154595431975793	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF780A	ZNF780A	Zfp60	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.154592979835698	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF260	ZNF260	Zfp260	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.146826649789271	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF277	ZNF277	Zfp277	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.143626455223451	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	KIAA1143	KIAA1143	1110059G10Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.129468560485158	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF3	ZNF3	Zfp113	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.129233608336952	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	C1orf174	C1orf174	A430005L14Rik	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.128471113948292	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	POT1	POT1	Pot1a	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.122159502098712	0.3341875196126011	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
5	Tier 5 exploratory non-identical ortholog	ZNF800	ZNF800	Zfp800	nonidentical_symbol	unclassified_shared_neuronal_or_context	exploratory shared ortholog candidate	formal_nominal_shared_full_matrix	supported_shared_full_matrix_only	nonidentical_ortholog_follow_up	2	2		7.117854020069117	0.2541862873319358	full_dentate,full_cerebellar			0.5	0.5	Keep as exploratory ortholog-completeness evidence; validate before central claims.
