module_id	module_label	module_family	interpretation_role	gene	canonical_gene	default_mouse_symbol	gene_order
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	EMX1	EMX1	Emx1	2
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	EMX2	EMX2	Emx2	3
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	LHX2	LHX2	Lhx2	4
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	SIX3	SIX3	Six3	5
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	OTX2	OTX2	Otx2	6
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	PAX6	PAX6	Pax6	7
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	EOMES	EOMES	Eomes	8
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	TBR1	TBR1	Tbr1	9
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	ZBTB20	ZBTB20	Zbtb20	10
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	TCF7L2	TCF7L2	Tcf7l2	11
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	LEF1	LEF1	Lef1	12
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	WNT3A	WNT3A	Wnt3a	13
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	WNT7A	WNT7A	Wnt7a	14
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	PROX1	PROX1	Prox1	1
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	NEUROD1	NEUROD1	Neurod1	2
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	NEUROD2	NEUROD2	Neurod2	3
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	EOMES	EOMES	Eomes	4
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	TBR1	TBR1	Tbr1	5
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	LEF1	LEF1	Lef1	6
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	LHX2	LHX2	Lhx2	7
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	EMX2	EMX2	Emx2	8
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	ZBTB20	ZBTB20	Zbtb20	9
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	TCF7L2	TCF7L2	Tcf7l2	10
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	WNT3A	WNT3A	Wnt3a	11
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	WNT7A	WNT7A	Wnt7a	12
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	DKK3	DKK3	Dkk3	13
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	BCL11B	BCL11B	Bcl11b	14
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	CALB1	CALB1	Calb1	15
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	C1QL3	C1QL3	C1ql3	16
medial_pallium_dentate_lineage	Medial pallium/dentate lineage	regional_origin	dentate/hippocampal granule developmental trajectory and WNT/PROX1-associated fate	GLIS3	GLIS3	Glis3	17
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	GBX2	GBX2	Gbx2	1
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	EN1	EN1	En1	2
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	EN2	EN2	En2	3
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	WNT1	WNT1	Wnt1	4
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	FGF8	FGF8	Fgf8	5
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	PAX2	PAX2	Pax2	6
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	PAX5	PAX5	Pax5	7
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	PAX8	PAX8	Pax8	8
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	ATOH1	ATOH1	Atoh1	9
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	BARHL1	BARHL1	Barhl1	10
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	ZIC1	ZIC1	Zic1	11
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	ZIC2	ZIC2	Zic2	12
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	ZIC3	ZIC3	Zic3	13
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	MEIS1	MEIS1	Meis1	14
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	MYCN	MYCN	Mycn	15
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	PTCH1	PTCH1	Ptch1	16
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	GLI1	GLI1	Gli1	17
hindbrain_rhombic_lip_pattern	Hindbrain/rhombic-lip pattern	regional_origin	posterior neural-tube, isthmic, rhombic-lip, and SHH-associated cerebellar granule lineage	GLI2	GLI2	Gli2	18
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	NFIA	NFIA	Nfia	1
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	NEUROD1	NEUROD1	Neurod1	2
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	RBFOX3	RBFOX3	Rbfox3	3
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	HMGN2	HMGN2	Hmgn2	4
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	DCX	DCX	Dcx	5
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	TUBB3	TUBB3	Tubb3	6
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	STMN2	STMN2	Stmn2	7
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	STMN3	STMN3	Stmn3	8
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	GPM6A	GPM6A	Gpm6a	9
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	GAP43	GAP43	Gap43	10
shared_postmitotic_granule_maturation	Shared postmitotic/granule maturation	later_convergence	reused postmitotic neuronal maturation and granule-lineage toolkit	CALB2	CALB2	Calb2	11
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	GPM6A	GPM6A	Gpm6a	1
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	ROBO2	ROBO2	Robo2	2
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	DCC	DCC	Dcc	3
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	CADM3	CADM3	Cadm3	4
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	STMN2	STMN2	Stmn2	5
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	STMN3	STMN3	Stmn3	6
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	GAP43	GAP43	Gap43	7
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	DPYSL2	DPYSL2	Dpysl2	8
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	DPYSL3	DPYSL3	Dpysl3	9
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	MAP1B	MAP1B	Map1b	10
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	BASP1	BASP1	Basp1	11
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	NCAM1	NCAM1	Ncam1	12
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	L1CAM	L1CAM	L1cam	13
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	KCNK1	KCNK1	Kcnk1	14
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	GABRA2	GABRA2	Gabra2	15
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	GABRB3	GABRB3	Gabrb3	16
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	GRIN2B	GRIN2B	Grin2b	17
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	SLC17A6	SLC17A6	Slc17a6	18
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	SLC17A7	SLC17A7	Slc17a7	19
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	SNAP25	SNAP25	Snap25	20
downstream_neurite_synapse_construction	Downstream neurite/synapse construction	later_convergence	neurite, adhesion, synaptic, and excitability implementation machinery	SYT1	SYT1	Syt1	21
