dataset	source_scope	axis_type	axis_label	candidate_call	broad_class	n_cells	median_axis_order	median_pseudotime	mean_pseudotime	root_fraction	median_proliferation_brdU_proxy	median_cell_cycle_exit_p21_p27	median_immature_progenitor_state	median_neuronal_differentiation_maturation	median_tgf_smad_pai1_response	median_bdnf_erk_response	median_apoptosis_execution	median_survival_neuroprotection	median_secreted_stop_candidate_axis	median_cerebellar_fate_rhombic_lip_shh	median_dentate_fate_wnt_prox1	median_shared_neurogenic_niche_state	median_downstream_neurite_morphology	median_downstream_synaptic_excitability	median_root_progenitor_immature	median_root_mature_granule
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8a	candidate_cerebellar_granule	cerebellar_candidate	1454	8.1	0.34498182	0.3478462	0.0	0.72662497	0.55131245	0.460375	0.4819375	0.563625	0.50312495	0.527875	0.471125	0.54237497	0.50425	0.4858125	0.456375	0.4805625	0.5736875	0.65125	0.504875
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8a	cerebellum_dentate_panel_high_warning	cerebellar_lineage_warning	319	8.1	0.30639285	0.33635226	0.0	0.367125	0.4485	0.400375	0.480125	0.547125	0.4735	0.464625	0.371375	0.333375	0.065375	0.73075	0.66025	0.493375	0.4055	0.21025	0.695125
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8b	candidate_cerebellar_granule	cerebellar_candidate	2697	8.2	0.2904448	0.32172415	0.0	0.63125	0.39875	0.44575	0.415	0.515375	0.46175	0.45525	0.492	0.48875	0.5615	0.423875	0.461125	0.40675	0.4705	0.513125	0.441125
GSE122357	full_transcriptome_raw_matrix	postnatal_cerebellar_age	P8b	cerebellum_dentate_panel_high_warning	cerebellar_lineage_warning	499	8.2	0.30261767	0.3204463	0.0	0.3715	0.4875	0.533875	0.411875	0.544625	0.557125	0.46825	0.419	0.221125	0.0765	0.6965	0.66825	0.40725	0.285625	0.320625	0.622
GSE165657	full_transcriptome_10x_matrix	human_cerebellum_intrinsic_state	all	candidate_cerebellar_granule	cerebellar_candidate	4000		0.37090424	0.35296285	0.036	0.55050004	0.522125	0.529625	0.565875	0.4523125	0.5015625	0.52381253	0.504375	0.5933125	0.69343746	0.5030625	0.425125	0.5446875	0.5985625	0.5334375	0.5513125
GSE165657	full_transcriptome_10x_matrix	human_cerebellum_intrinsic_state	all	cerebellum_dentate_panel_high_warning	cerebellar_lineage_warning	4000		0.33793947	0.34139287	0.06425	0.446125	0.47306252	0.45912498	0.4190625	0.54681253	0.4980625	0.47631252	0.4950625	0.221625	0.2554375	0.494125	0.5869375	0.4535625	0.4058125	0.4485625	0.436875
GSE186538	full_transcriptome_DG_GC_sparse_subset	human_DG_GC_taxonomy_intrinsic_state	DG GC PROX1 PDLIM5	candidate_dentate_granule	dentate_candidate	3371		0.34114882	0.3619752	0.04657371699792347	0.397125	0.48525	0.65425	0.515	0.4575	0.461125	0.526125	0.47525	0.422375	0.37975	0.671625	0.513875	0.42975	0.511625	0.4508125	0.5785
GSE186538	full_transcriptome_DG_GC_sparse_subset	human_DG_GC_taxonomy_intrinsic_state	DG GC PROX1 SGCZ	candidate_dentate_granule	dentate_candidate	4629		0.36744022	0.37361842	0.0524951393389501	0.397125	0.51625	0.236125	0.488	0.52875	0.531375	0.461625	0.52175	0.54925	0.37975	0.372	0.489625	0.554	0.49325	0.4508125	0.443125
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_1hr	candidate_dentate_granule	dentate_candidate	17	0.0	9.781946e-07	9.781946e-07	1.0	0.30208334	0.6796875	0.38802084	0.5182292	0.390625	0.45052084	0.5546875	0.5208333	0.5520833	0.7760417	0.703125	0.7005208	0.7109375	0.6744792	0.6119792	0.48697916
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_1hr	dentate_like_low_support	dentate_low_support	42	0.0	9.781946e-07	9.781946e-07	1.0	0.37890625	0.33984375	0.4296875	0.4348958	0.38151044	0.45182294	0.50911456	0.31901044	0.375	0.4635417	0.64713544	0.5338541	0.4518229	0.5104167	0.31640625	0.5208333
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_4hr	candidate_dentate_granule	dentate_candidate	29	0.1	9.781946e-07	9.781946e-07	1.0	0.41145834	0.5260417	0.6848958	0.43489584	0.5338542	0.3515625	0.5963542	0.36458334	0.5208333	0.48697916	0.5755208	0.6145833	0.7213542	0.5364583	0.453125	0.546875
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_4hr	dentate_like_low_support	dentate_low_support	32	0.1	9.781946e-07	9.781946e-07	1.0	0.5299479	0.3828125	0.55078125	0.5598958	0.44140625	0.359375	0.5390625	0.3828125	0.5520834	0.5481771	0.5442709	0.4635417	0.6979166	0.64192706	0.4895833	0.5169271
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_1hr	candidate_dentate_granule	dentate_candidate	13	0.4	0.5823821	0.58691514	0.0	0.31770834	0.5807292	0.515625	0.6588542	0.7213542	0.7526042	0.5807292	0.6328125	0.703125	0.43229166	0.6484375	0.2578125	0.7005208	0.7083333	0.6328125	0.6380208
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_1hr	dentate_like_low_support	dentate_low_support	27	0.4	0.57715696	0.57654387	0.0	0.48177084	0.3046875	0.27864584	0.359375	0.46614584	0.34114584	0.41666666	0.34635416	0.46875	0.484375	0.390625	0.5807292	0.25	0.359375	0.5	0.390625
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_4hr	candidate_dentate_granule	dentate_candidate	18	0.5	0.5833998	0.5746772	0.0	0.4921875	0.45182294	0.47786456	0.47395834	0.5299479	0.58723956	0.4635417	0.46484375	0.41666666	0.35546875	0.390625	0.35546875	0.55078125	0.3984375	0.59765625	0.57421875
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_4hr	dentate_like_low_support	dentate_low_support	13	0.5	0.5719333	0.5536902	0.0	0.5026042	0.5963542	0.48958334	0.45052084	0.40885416	0.48177084	0.39583334	0.484375	0.35416666	0.41927084	0.3515625	0.3125	0.39583334	0.34635416	0.5026042	0.48958334
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_1hr	candidate_dentate_granule	dentate_candidate	18	1.0	0.5525502	0.54652095	0.0	0.50911456	0.7630209	0.49088544	0.546875	0.5234375	0.55078125	0.484375	0.6354166	0.4375	0.5911459	0.6640625	0.40625	0.5677084	0.5078125	0.4674479	0.4609375
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_1hr	dentate_like_low_support	dentate_low_support	24	1.0	0.5556618	0.55561507	0.0	0.46744794	0.2154948	0.25390625	0.42317706	0.4401042	0.4700521	0.39453125	0.4583333	0.078125	0.42057294	0.4609375	0.578125	0.3515625	0.30989584	0.38671875	0.47135416
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_4hr	candidate_dentate_granule	dentate_candidate	24	1.1	0.53048575	0.5403965	0.0	0.6966146	0.55078125	0.5	0.50130206	0.3802083	0.48958334	0.5234375	0.578125	0.51953125	0.5013021	0.4557292	0.45963544	0.5130209	0.49869794	0.6393229	0.6888021
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	mature_4hr	dentate_like_low_support	dentate_low_support	20	1.1	0.55214965	0.54473865	0.0	0.4856771	0.4791667	0.41536456	0.66276044	0.4583333	0.29036456	0.4205729	0.42838544	0.25520834	0.46223956	0.4270833	0.4635417	0.4947917	0.55598956	0.3255208	0.47786456
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_1hr	candidate_dentate_granule	dentate_candidate	9	1.4	0.5587672	0.5748248	0.0	0.6536458	0.7760417	0.7630208	0.515625	0.7265625	0.8723958	0.6380208	0.7786458	0.5963542	0.6145833	0.42708334	0.234375	0.41927084	0.43229166	0.53125	0.5729167
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_1hr	dentate_like_low_support	dentate_low_support	46	1.4	0.5875684	0.61231005	0.0	0.5729167	0.7356771	0.5221354	0.47005206	0.6966146	0.64973956	0.52734375	0.6861979	0.66015625	0.45833334	0.3385417	0.4127604	0.46223956	0.4505208	0.6197916	0.36458334
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_4hr	candidate_dentate_granule	dentate_candidate	18	1.5	0.59651035	0.6045857	0.0	0.3841146	0.3997396	0.5911459	0.47395834	0.6575521	0.66796875	0.40234375	0.5703125	0.6315104	0.64192706	0.3932292	0.60807294	0.4270833	0.58984375	0.5703125	0.54036456
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	matureactive_4hr	dentate_like_low_support	dentate_low_support	34	1.5	0.57431614	0.5653097	0.0	0.5442709	0.5377604	0.5572916	0.6393229	0.5364583	0.6614583	0.43880206	0.67578125	0.58984375	0.4244792	0.5390625	0.4973958	0.44661456	0.4778646	0.59505206	0.44140625
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	hippocampal_neuronal_ambiguous	hippocampal_neuronal_ambiguous	dentate_candidate_or_hippocampal_neuronal	2537		0.37939686	0.40725967	0.0			0.3931875	0.268125	0.308125	0.266625		0.30275	0.2395625	0.3770625	0.181875	0.319875	0.232125	0.247375	0.4333125	0.24175
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	human_dg_like_candidate	human_dg_like_candidate	dentate_candidate_or_hippocampal_neuronal	1989		0.35297433	0.34138668	0.0			0.3931875	0.55425	0.308125	0.544375		0.572	0.548375	0.3770625	0.522375	0.517875	0.540625	0.544625	0.4333125	0.5465
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	human_dg_like_high_confidence	human_dg_like_high_confidence	dentate_candidate_or_hippocampal_neuronal	1485		0.3784986	0.3580864	0.0			0.3931875	0.52475	0.628375	0.61225		0.7219375	0.5625	0.3770625	0.636	0.662125	0.567875	0.538	0.4333125	0.512125
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	immature_neurogenic_candidate	immature_neurogenic_candidate	dentate_immature_candidate	1989		5.6565057e-07	5.6565057e-07	1.0			0.3931875	0.69825	0.64275	0.666		0.54425	0.638125	0.3770625	0.769625	0.522125	0.723	0.730125	0.4333125	0.7495
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P5	candidate_dentate_granule	dentate_candidate	49	5.0	5.769192e-07	5.769192e-07	1.0	0.6376238	0.54851484	0.74653465	0.32475248	0.5524753	0.4910891	0.7049505	0.5425743	0.7148515	0.65940595	0.7069307	0.76039606	0.8534653	0.44158417	0.7148515	0.32871288
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P5	dentate_like_low_support	dentate_low_support	45	5.0	5.769192e-07	5.769192e-07	1.0	0.64356434	0.47920793	0.83168316	0.12871288	0.8039604	0.3069307	0.6	0.5247525	0.7029703	0.6871287	0.56435645	0.80594057	0.8930693	0.27128714	0.7762376	0.11485148
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P7	candidate_dentate_granule	dentate_candidate	38	7.0	0.32390177	0.34028	0.0	0.45445544	0.5316832	0.5356436	0.52574253	0.5683168	0.5366336	0.7237624	0.57128716	0.6019802	0.32277226	0.61881185	0.5970297	0.5603961	0.47920793	0.6376238	0.44950497
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P7	dentate_like_low_support	dentate_low_support	38	7.0	0.3640159	0.3751755	0.0	0.46039605	0.5029703	0.43762377	0.52970296	0.45148516	0.52178216	0.63267326	0.46633664	0.5366337	0.72079206	0.549505	0.5257426	0.66138613	0.370297	0.52079207	0.38316834
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P10	candidate_dentate_granule	dentate_candidate	53	10.0	0.529849	0.5046279	0.0	0.66138613	0.5881188	0.66930693	0.7049505	0.45544556	0.7168317	0.57425743	0.6039604	0.5960396	0.32277226	0.7762376	0.6138614	0.6831683	0.76435643	0.6831683	0.6792079
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P10	dentate_like_low_support	dentate_low_support	38	10.0	0.56015027	0.55871147	0.0	0.4663366	0.48514852	0.5524752	0.739604	0.52178216	0.7039604	0.55643564	0.69306934	0.63366336	0.32277226	0.7138614	0.59207916	0.6267327	0.740594	0.5831683	0.61683166
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P15	candidate_dentate_granule	dentate_candidate	49	15.0	0.62359685	0.63579196	0.0	0.61782175	0.63366336	0.46732673	0.6950495	0.52079207	0.6950495	0.5445545	0.6455445	0.570297	0.32277226	0.550495	0.4178218	0.4178218	0.7821782	0.47920793	0.6811881
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P15	dentate_like_low_support	dentate_low_support	44	15.0	0.62332076	0.64248365	0.0	0.5772277	0.5425743	0.33564356	0.58910894	0.47524753	0.6287129	0.4029703	0.6336634	0.5039604	0.4960396	0.46930695	0.43465346	0.41881186	0.8287129	0.34752476	0.5346534
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P28	candidate_dentate_granule	dentate_candidate	7	28.0	0.5744002	0.5993872	0.0	0.07623763	0.0960396	0.16633664	0.55445546	0.40792078	0.5346535	0.36633664	0.14455445	0.28316832	0.32277226	0.34257427	0.3108911	0.16039604	0.33663365	0.1	0.73663366
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P28	dentate_like_low_support	dentate_low_support	144	28.0	0.5765423	0.59560937	0.0	0.17128712	0.24554455	0.23069307	0.40297028	0.36732674	0.26732674	0.16633663	0.22079208	0.17029703	0.32277226	0.15940595	0.08217822	0.14950496	0.25940594	0.1	0.54851484
GSE312658	full_transcriptome_10x_matrix	mouse_cerebellum_ctrl_cKO_intrinsic_state	all	candidate_cerebellar_granule	cerebellar_candidate	4158		0.42564076	0.41966486	0.04449254449254449	0.52336746	0.28425097	0.56506085	0.5269686	0.4541453	0.51248395	0.2434379	0.5299296	0.5442542	0.6028329	0.44118118	0.48479515	0.5372119	0.6449264	0.5525768	0.5739437
GSE312658	full_transcriptome_10x_matrix	mouse_cerebellum_ctrl_cKO_intrinsic_state	all	cerebellum_dentate_panel_high_warning	cerebellar_lineage_warning	2090		0.34845507	0.3585697	0.06076555023923445	0.4640685	0.28425097	0.36827785	0.43101794	0.5847471	0.47455186	0.52456784	0.4296575	0.40733033	0.2022247	0.606274	0.5324104	0.43269846	0.28249037	0.38916454	0.34411013
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl13	adult_dg_background_warning	dentate_candidate	9	1.39373718357531	0.51670474	0.48725128	0.0			0.2763125	0.263125	0.2094375	0.353375		0.5556875	0.1051875	0.497	0.307	0.9595	0.65	0.114125	0.3936875	0.086125
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl13	adult_human_dg_differentiating_anchor	dentate_candidate	605	1.40427104035395	5.396531e-07	5.396531e-07	1.0			0.2763125	0.7745	0.529	0.55625		0.444125	0.469625	0.497	0.561375	0.60225	0.62125	0.63125	0.3936875	0.65525
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl4	adult_dg_background_warning	dentate_candidate	44	2.96219493378103	0.51738894	0.5076994	0.0			0.2763125	0.2595625	0.2094375	0.2848125		0.4535	0.1051875	0.497	0.1678125	0.91375005	0.155625	0.102125004	0.3936875	0.16
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl4	adult_human_dg_differentiating_anchor	dentate_candidate	854	3.0200535483514	5.396531e-07	5.396531e-07	1.0			0.2763125	0.28262502	0.2094375	0.2135625		0.332375	0.1051875	0.497	0.1833125	0.1475625	0.1664375	0.1434375	0.3936875	0.18656251
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl2	adult_dg_background_warning	dentate_candidate	27	3.36435560630641	0.5181711	0.5003949	0.0			0.2763125	0.446625	0.2094375	0.40525		0.52625	0.319625	0.497	0.168875	0.905125	0.14975	0.18225	0.3936875	0.180375
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl2	adult_human_dg_differentiating_anchor	dentate_candidate	910	4.109725850230619	5.396531e-07	5.396531e-07	1.0			0.2763125	0.417	0.2094375	0.315875		0.3745625	0.40249997	0.497	0.31418753	0.5240625	0.29625	0.27693748	0.3936875	0.35587502
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl18	adult_human_dg_differentiating_anchor	dentate_candidate	399	5.43884458628174	5.396531e-07	5.396531e-07	1.0			0.2763125	0.438875	0.6835	0.47525		0.429	0.388875	0.497	0.373375	0.519375	0.309625	0.332125	0.3936875	0.35075
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl18	adult_dg_background_warning	dentate_candidate	2	5.89058743195686	0.49978456	0.49978456	0.0			0.2763125	0.53875	0.2094375	0.58225		0.69	0.32453126	0.74825	0.5598125	0.873875	0.7634375	0.191625	0.3936875	0.530375
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN_OTOF	adult_dg_background_warning	dentate_candidate	33	8.72583399634128	0.52238744	0.50918424	0.0			0.2763125	0.194375	0.2094375	0.35075		0.56775	0.1051875	0.497	0.177875	0.90375	0.2015	0.1115	0.3936875	0.116375
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN_OTOF	adult_human_dg_differentiating_anchor	dentate_candidate	641	9.18837493626198	5.396531e-07	5.396531e-07	1.0			0.2763125	0.390375	0.2094375	0.285125		0.30475	0.1051875	0.497	0.490125	0.481	0.179875	0.22	0.3936875	0.30375
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	dentate_candidate	1008	9.6417723547459	0.3875326	0.3995446	0.0			0.2763125	0.62356246	0.66809374	0.6508125		0.63731253	0.712625	0.497	0.453	0.49965626	0.6964375	0.63006246	0.3936875	0.61925
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_OTOF	adult_human_dg_mature_anchor	dentate_candidate	623	11.8610806709804	0.5293734	0.5005597	0.0			0.7893125	0.597	0.43425	0.563		0.52975	0.386	0.497	0.82975	0.569125	0.535875	0.649	0.80625	0.69525
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	dentate_candidate	2845	14.7326015316837	0.3327541	0.33635148	0.0			0.2763125	0.4695	0.573125	0.5735		0.562625	0.61225	0.497	0.575	0.470375	0.603125	0.601125	0.3936875	0.521875
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DC12	candidate_dentate_granule	dentate_candidate	15		0.48940957	0.5011418	0.0	0.5874644	0.611396	0.38689458	0.5219373	0.45527065	0.44216526	0.2820513	0.32991454	0.4045584	0.4074074	0.6062678	0.2079772	0.3088319	0.6091168	0.3014245	0.44843304
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DC12	dentate_like_low_support	dentate_low_support	17		0.56851554	0.6099	0.058823529411764705	0.6096866	0.53105414	0.2034188	0.44957265	0.68091166	0.5304843	0.4746439	0.46096867	0.34415954	0.4074074	0.25242165	0.33219373	0.2074074	0.5880342	0.33732194	0.5173789
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG03	candidate_dentate_granule	dentate_candidate	20		0.4701981	0.4989729	0.0	0.6216524	0.60142446	0.46723646	0.71282053	0.5452992	0.47407407	0.32649574	0.37920228	0.4817664	0.4074074	0.52250713	0.30512822	0.54273504	0.7153846	0.37663817	0.61025643
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG03	dentate_like_low_support	dentate_low_support	11		0.54495823	0.42451093	0.18181818181818182	0.38404557	0.26581198	0.5452992	0.26609686	0.4883191	0.42962962	0.47749287	0.56125355	0.32592592	0.4074074	0.32592592	0.45982906	0.23418804	0.35327634	0.6159544	0.44444445
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG04	candidate_dentate_granule	dentate_candidate	39		0.4724036	0.4853585	0.0	0.56638175	0.43817663	0.4763533	0.65754986	0.35840455	0.51623935	0.48205128	0.44900286	0.43361825	0.4074074	0.5840456	0.2928775	0.48262107	0.6096866	0.43703705	0.72307694
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG04	dentate_like_low_support	dentate_low_support	14		0.511836	0.5410396	0.0	0.4122507	0.288604	0.34472933	0.26695156	0.54985756	0.2988604	0.5150997	0.5182336	0.44900286	0.4074074	0.3840456	0.55669516	0.3082621	0.35584044	0.37948716	0.25156695
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG05	candidate_dentate_granule	dentate_candidate	81		0.50020117	0.50422525	0.0	0.5105413	0.574359	0.37094018	0.63418806	0.5082621	0.5236467	0.4051282	0.52763534	0.614245	0.4074074	0.61880344	0.34757835	0.53447294	0.6763533	0.34074074	0.6997151
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG05	dentate_like_low_support	dentate_low_support	25		0.5593433	0.51994276	0.04	0.34358975	0.6108262	0.3954416	0.35669515	0.6245014	0.47578347	0.12962963	0.4854701	0.43817663	0.4074074	0.34074074	0.3054131	0.41367522	0.4854701	0.5270655	0.411396
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG06	candidate_dentate_granule	dentate_candidate	20		0.4741764	0.47184855	0.0	0.5726496	0.53846157	0.4883191	0.5501424	0.6324786	0.5074074	0.4025641	0.35099715	0.54102564	0.4074074	0.6324786	0.32905984	0.50427353	0.605698	0.34643877	0.6165242
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG06	dentate_like_low_support	dentate_low_support	15		0.44392282	0.41472533	0.13333333333333333	0.37549856	0.50598294	0.42051283	0.37606838	0.5065527	0.43760684	0.27464387	0.35783476	0.62222224	0.4074074	0.27236468	0.4096866	0.43646723	0.42962962	0.32478634	0.4034188
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG07	candidate_dentate_granule	dentate_candidate	62		0.5200953	0.5111544	0.0	0.4871795	0.39601138	0.36780626	0.5920228	0.47008547	0.4977208	0.43675214	0.48119658	0.62877494	0.4074074	0.50797725	0.44900286	0.5353277	0.74444443	0.3088319	0.62564105
GSE95752	full_transcriptome_raw_matrix	dentate_maturation_validation_cluster	DG07	dentate_like_low_support	dentate_low_support	37		0.5960118	0.6279718	0.0	0.38176638	0.25584045	0.3207977	0.35954416	0.5139601	0.36980057	0.38319087	0.32934472	0.53333336	0.4074074	0.19031338	0.5504274	0.47578347	0.35897437	0.37777779	0.43532765
