accession	region	species	data_type	local_path	status	priority	notes
GSE246785	cerebellum	Mus musculus	3D_genome_multiome	External_Data/GEO/GSE246785	existing	high	Cerebellar granule 3D genome/regulatory support.
GSE104323	dentate_gyrus	Mus musculus	scRNA_seq	External_Data/GEO/GSE104323	existing	high	Primary dentate gyrus neurogenesis trajectory anchor.
GSE95752	dentate_gyrus	Mus musculus	scRNA_seq_C1	External_Data/GEO/GSE95752	existing	high	Mouse dentate gyrus C1 single-cell support set.
GSE185277	hippocampus_dentate_gyrus	Homo sapiens	snRNA_seq	External_Data/GEO/GSE185277	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	high	Build-first human imGC/dentate scaffold; 7 sparse libraries built, QC-harmonized, marker-scored, metadata-curated, included in normalized reduced human-core object, label-tuned, and module-tested.
GSE185553	hippocampus	Homo sapiens	snRNA_seq	External_Data/GEO/GSE185553	raw_downloaded;sparse_objects_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	high	Build-first broader human hippocampus companion reference; 27 sparse libraries built, QC-harmonized, marker-scored, metadata-curated, included in normalized reduced human-core object, label-tuned, and module-tested.
GSE186538	dentate_gyrus_hippocampal_entorhinal	Homo sapiens;Macaca_mulatta;Sus_scrofa	snRNA_seq	External_Data/GEO/GSE186538	human_files_downloaded;sparse_subset_built;qc_harmonized;marker_validated;geo_metadata_curated;normalized_reduced_object_built;labels_tuned;dataset_aware_module_tests	high	Human counts/meta/genes downloaded; 32,067 DG GC sparse subset built, marker-validated, donor-curated, included as normalized human DG anchor, and used in tuned-label module tests.
GSE325391	dentate_gyrus	Homo sapiens	single_nucleus_or_single_cell_expression	External_Data/GEO/GSE325391	adult_rds_downloaded;geo_metadata_curated;rds_inspected;selected_sparse_bridge_built;human_core_label_projected	high	Primary adult human dentate anchor; adultgc RDS downloaded, 59,075 nuclei inspected, selected sparse bridge built, and labels projected into the human-core convention; fetal RDS deferred.
GSE268609	hippocampus	Homo sapiens	snRNA_seq_snATAC_multiome	External_Data/GEO/GSE268609	source_listing_saved;geo_metadata_curated;rna_matrix_barcodes_features_downloaded;rna_selected_npz_built;human_core_label_projected	high	Human hippocampal multiome expansion; RNA matrix/barcodes/features downloaded, 39 RNA samples curated, 366,175 nuclei/barcodes streamed into a 2,169 selected-gene bridge, and projected into human-core labels; defer ATAC fragments and full Seurat RDS.
GSE233363	dentate_gyrus	Mus musculus	scRNA_seq_spatial_transcriptomics	External_Data/GEO/GSE233363	source_listing_saved;not_downloaded	high	Mouse DG aging/neurogenic-lineage validation after human dentate branch is built; RAW tar about 1.0G.
spatial_DG_lifespan	dentate_gyrus	Homo sapiens	Visium_spatial_transcriptomics	External_Data/Zenodo/spatial_DG_lifespan	article_pdf_present;zenodo_metadata_saved;data_not_downloaded	medium	Cell Reports 2025 human DG lifespan spatial resource; article PDF is local; Zenodo processed/raw archive is about 38 GB.
GSE198323	hippocampus	Homo sapiens	high_throughput_expression	External_Data/GEO/GSE198323	source_listing_saved;not_downloaded	medium	Nature 2022 human hippocampal immature-neuron Alzheimer's disease context; use after healthy/reference human imGC branch.
DANDI_000003_YutaMouse55_160907	dentate_gyrus	Mus musculus	behavior_ecephys_NWB	Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160907_behavior+ecephys.nwb	downloaded_external_drive;hdf5_validated;multisession_spatial_analyzed;aim3_recalibrated	high	Asset ae561807-30d9-4775-9ce4-483da9843163, 8.78 GB; added 7 source-labeled granule units and brought DANDI 000003 multi-session pool to 26 granule units across 6 granule-containing sessions.
