feature_row_1based	feature_id	feature_name	feature_type	feature_chrom	feature_start	feature_end	linked_gene	best_priority	model_terms_supported	target_sets	peak_category	selection_reason
6741	ENSG00000185008	ROBO2	Gene Expression	chr3	75906694	77477410	ROBO2	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
6946	ENSG00000181722	ZBTB20	Gene Expression	chr3	114383640	115147271	ZBTB20	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
6955	ENSG00000172020	GAP43	Gene Expression	chr3	115623323	115623510	GAP43	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation		target_gene_expression_row
7003	ENSG00000145087	STXBP5L	Gene Expression	chr3	120908071	120908314	STXBP5L	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
7052	ENSG00000163848	ZNF148	Gene Expression	chr3	125375248	125375354	ZNF148	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
7112	ENSG00000075785	RAB7A	Gene Expression	chr3	128726121	128795359	RAB7A	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
7298	ENSG00000152977	ZIC1	Gene Expression	chr3	147409364	147409365	ZIC1	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
7594	ENSG00000181449	SOX2	Gene Expression	chr3	181711924	181711925	SOX2	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
7658	ENSG00000073803	MAP3K13	Gene Expression	chr3	185282940	185363136	MAP3K13	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
7752	ENSG00000114315	HES1	Gene Expression	chr3	194136147	194136148	HES1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
8074	ENSG00000007062	PROM1	Gene Expression	chr4	16076117	16084378	PROM1	medium_high	FatePolarity	deep_neural_progenitor		target_gene_expression_row
8268	ENSG00000151834	GABRA2	Gene Expression	chr4	46388712	46475230	GABRA2	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
8644	ENSG00000172238	ATOH1	Gene Expression	chr4	93828752	93828753	ATOH1	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
8697	ENSG00000138814	PPP3CA	Gene Expression	chr4	101346841	101347526	PPP3CA	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
8753	ENSG00000138795	LEF1	Gene Expression	chr4	108166300	108168956	LEF1	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
9014	ENSG00000151612	ZNF827	Gene Expression	chr4	145938421	145938823	ZNF827	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
9243	ENSG00000150625	GPM6A	Gene Expression	chr4	175787675	176002664	GPM6A	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation		target_gene_expression_row
9567	ENSG00000176788	BASP1	Gene Expression	chr5	17216822	17217631	BASP1	high	ConstructionBalance;EpigenomicCompatibility	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
9774	ENSG00000172244	C5orf34	Gene Expression	chr5	43515147	43515148	C5ORF34	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
9980	ENSG00000131711	MAP1B	Gene Expression	chr5	72107474	72107475	MAP1B	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
10749	ENSG00000113657	DPYSL3	Gene Expression	chr5	147453958	147510068	DPYSL3	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
10799	ENSG00000070808	CAMK2A	Gene Expression	chr5	150289737	150290291	CAMK2A	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
11644	ENSG00000196230	TUBB	Gene Expression	chr6	30720351	30721699	TUBB	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
11850	ENSG00000112062	MAPK14	Gene Expression	chr6	36027676	36028158	MAPK14	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
12283	ENSG00000188994	ZNF292	Gene Expression	chr6	87152832	87155581	ZNF292	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
13005	ENSG00000198719	DLL1	Gene Expression	chr6	170291077	170291078	DLL1	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
13112	ENSG00000075624	ACTB	Gene Expression	chr7	5530600	5530602	ACTB	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
13506	ENSG00000058404	CAMK2B	Gene Expression	chr7	44325420	44325656	CAMK2B	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
13797	ENSG00000153956	CACNA2D1	Gene Expression	chr7	82443714	82443777	CACNA2D1	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
13948	ENSG00000166526	ZNF3	Gene Expression	chr7	100079166	100081764	ZNF3	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
14117	ENSG00000198839	ZNF277	Gene Expression	chr7	112206694	112206701	ZNF277	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
14172	ENSG00000184408	KCND2	Gene Expression	chr7	120273174	120273175	KCND2	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
14211	ENSG00000128513	POT1	Gene Expression	chr7	124929800	124929983	POT1	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
14221	ENSG00000048405	ZNF800	Gene Expression	chr7	127392365	127392708	ZNF800	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
14301	ENSG00000221866	PLXNA4	Gene Expression	chr7	132576469	132648688	PLXNA4	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
14659	ENSG00000164778	EN2	Gene Expression	chr7	155458128	155458129	EN2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
15057	ENSG00000092964	DPYSL2	Gene Expression	chr8	26514030	26578405	DPYSL2	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
15544	ENSG00000104435	STMN2	Gene Expression	chr8	79610813	79611735	STMN2	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation		target_gene_expression_row
15630	ENSG00000104327	CALB1	Gene Expression	chr8	90081520	90082879	CALB1	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
15758	ENSG00000120963	ZNF706	Gene Expression	chr8	101204700	101206064	ZNF706	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
16229	ENSG00000080298	RFX3	Gene Expression	chr9	3395587	3526001	RFX3	highest	ConstructionBalance	Tier 1 core convergent program		target_gene_expression_row
16233	ENSG00000107249	GLIS3	Gene Expression	chr9	4152146	4300068	GLIS3	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
16304	ENSG00000147862	NFIB	Gene Expression	chr9	14180791	14398983	NFIB	highest	ConstructionBalance	Tier 1 core convergent program		target_gene_expression_row
16538	ENSG00000196092	PAX5	Gene Expression	chr9	37025747	37034268	PAX5	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
16682	ENSG00000155621	C9orf85	Gene Expression	chr9	71911544	71911661	C9ORF85	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
16873	ENSG00000185920	PTCH1	Gene Expression	chr9	95507198	95517057	PTCH1	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state		target_gene_expression_row
17161	ENSG00000106689	LHX2	Gene Expression	chr9	124011767	124011768	LHX2	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
17187	ENSG00000119487	MAPKAP1	Gene Expression	chr9	125672642	125707234	MAPKAP1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support		target_gene_expression_row
17212	ENSG00000136854	STXBP1	Gene Expression	chr9	127579369	127612361	STXBP1	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
17346	ENSG00000125492	BARHL1	Gene Expression	chr9	132582605	132582659	BARHL1	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
17436	ENSG00000148400	NOTCH1	Gene Expression	chr9	136546047	136546048	NOTCH1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
17710	ENSG00000165985	C1QL3	Gene Expression	chr10	16521144	16521879	C1QL3	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
17719	ENSG00000026025	VIM	Gene Expression	chr10	17229277	17229278	VIM	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
17857	ENSG00000099250	NRP1	Gene Expression	chr10	33334381	33336262	NRP1	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
17923	ENSG00000169740	ZNF32	Gene Expression	chr10	43648703	43648881	ZNF32	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
18331	ENSG00000107779	BMPR1A	Gene Expression	chr10	86756649	86756650	BMPR1A	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
18530	ENSG00000075891	PAX2	Gene Expression	chr10	100745710	100746220	PAX2	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
18557	ENSG00000107831	FGF8	Gene Expression	chr10	101775958	101780369	FGF8	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
18667	ENSG00000148737	TCF7L2	Gene Expression	chr10	112950246	112950757	TCF7L2	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
18713	ENSG00000170370	EMX2	Gene Expression	chr10	117542444	117542746	EMX2	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
19267	ENSG00000050165	DKK3	Gene Expression	chr11	12009081	12009769	DKK3	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
19386	ENSG00000091664	SLC17A6	Gene Expression	chr11	22338380	22338381	SLC17A6	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
19445	ENSG00000007372	PAX6	Gene Expression	chr11	31804045	31817961	PAX6	high	FatePolarity	anterior_telencephalic_pattern;cerebellar_fate_rhombic_lip_shh;deep_neural_progenitor		target_gene_expression_row
19555	ENSG00000175274	TP53I11	Gene Expression	chr11	44938334	44951306	TP53I11	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
19915	ENSG00000133318	RTN3	Gene Expression	chr11	63681445	63681573	RTN3	high	ConstructionBalance	Tier 4 screen-specific mechanism support;downstream_neurite_morphology		target_gene_expression_row
20025	ENSG00000172757	CFL1	Gene Expression	chr11	65856963	65861421	CFL1	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
20497	ENSG00000149972	CNTN5	Gene Expression	chr11	99020948	99844808	CNTN5	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
20627	ENSG00000149294	NCAM1	Gene Expression	chr11	112961246	112961480	NCAM1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
21298	ENSG00000273079	GRIN2B	Gene Expression	chr12	13980362	13980363	GRIN2B	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
21647	ENSG00000125084	WNT1	Gene Expression	chr12	48978321	48978453	WNT1	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern		target_gene_expression_row
21657	ENSG00000123416	TUBA1B	Gene Expression	chr12	49131394	49131395	TUBA1B	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
21659	ENSG00000167552	TUBA1A	Gene Expression	chr12	49186863	49189080	TUBA1A	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support		target_gene_expression_row
21961	ENSG00000111087	GLI1	Gene Expression	chr12	57459784	57460151	GLI1	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state		target_gene_expression_row
22056	ENSG00000149948	HMGA2	Gene Expression	chr12	65824130	65825123	HMGA2	medium_high	FatePolarity	deep_neural_progenitor		target_gene_expression_row
22114	ENSG00000135643	KCNMB4	Gene Expression	chr12	70366289	70366290	KCNMB4	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
22186	ENSG00000067715	SYT1	Gene Expression	chr12	78863992	79045631	SYT1	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
22385	ENSG00000139352	ASCL1	Gene Expression	chr12	102957673	102957674	ASCL1	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state		target_gene_expression_row
22642	ENSG00000135097	MSI1	Gene Expression	chr12	120369163	120369164	MSI1	medium_high	FatePolarity	deep_neural_progenitor		target_gene_expression_row
22648	ENSG00000088986	DYNLL1	Gene Expression	chr12	120469849	120496113	DYNLL1	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support		target_gene_expression_row
22696	ENSG00000110987	BCL7A	Gene Expression	chr12	122019421	122021886	BCL7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
23525	ENSG00000043355	ZIC2	Gene Expression	chr13	99981783	99981784	ZIC2	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
23632	ENSG00000182968	SOX1	Gene Expression	chr13	112067148	112067149	SOX1	medium_high	FatePolarity	deep_neural_progenitor		target_gene_expression_row
23945	ENSG00000179933	C14orf119	Gene Expression	chr14	23095504	23095525	C14ORF119	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
24044	ENSG00000176165	FOXG1	Gene Expression	chr14	28766786	28766787	FOXG1	medium_high	FatePolarity	anterior_telencephalic_pattern		target_gene_expression_row
24271	ENSG00000125378	BMP4	Gene Expression	chr14	53953454	53956825	BMP4	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
24307	ENSG00000165588	OTX2	Gene Expression	chr14	56805647	56816693	OTX2	medium_high	FatePolarity	anterior_telencephalic_pattern		target_gene_expression_row
24340	ENSG00000139970	RTN1	Gene Expression	chr14	59630608	59870776	RTN1	high	ConstructionBalance	downstream_neurite_morphology		target_gene_expression_row
24521	ENSG00000119725	ZNF410	Gene Expression	chr14	73886616	73902206	ZNF410	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
24701	ENSG00000198668	CALM1	Gene Expression	chr14	90397028	90399082	CALM1	high	ConstructionBalance	downstream_synaptic_excitability		target_gene_expression_row
24833	ENSG00000127152	BCL11B	Gene Expression	chr14	99271484	99272197	BCL11B	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
25254	ENSG00000166206	GABRB3	Gene Expression	chr15	26629089	26939539	GABRB3	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
25697	ENSG00000181827	RFX7	Gene Expression	chr15	56243265	56243266	RFX7	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support		target_gene_expression_row
25705	ENSG00000137871	ZNF280D	Gene Expression	chr15	56733493	56734086	ZNF280D	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
25987	ENSG00000138623	SEMA7A	Gene Expression	chr15	74433703	74433958	SEMA7A	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
27305	ENSG00000155330	C16orf87	Gene Expression	chr16	46831161	46831180	C16ORF87	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
27710	ENSG00000172137	CALB2	Gene Expression	chr16	71358712	71358723	CALB2	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation		target_gene_expression_row
27730	ENSG00000102984	ZNF821	Gene Expression	chr16	71883508	71884204	ZNF821	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
28070	ENSG00000258947	TUBB3	Gene Expression	chr16	89921850	89923366	TUBB3	high	EpigenomicCompatibility;NicheSignal	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation		target_gene_expression_row
28813	ENSG00000108666	C17orf75	Gene Expression	chr17	32342172	32342209	C17ORF75	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
29004	ENSG00000171532	NEUROD2	Gene Expression	chr17	39607919	39607920	NEUROD2	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage		target_gene_expression_row
29251	ENSG00000131095	GFAP	Gene Expression	chr17	44915485	44915500	GFAP	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
29914	ENSG00000167281	RBFOX3	Gene Expression	chr17	79235804	79516148	RBFOX3	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation		target_gene_expression_row
29978	ENSG00000184009	ACTG1	Gene Expression	chr17	81512754	81512818	ACTG1	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
30461	ENSG00000150477	KIAA1328	Gene Expression	chr18	36829126	37066866	KIAA1328	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
30570	ENSG00000187323	DCC	Gene Expression	chr18	52340196	52934772	DCC	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction		target_gene_expression_row
30584	ENSG00000196628	TCF4	Gene Expression	chr18	55302625	55636027	TCF4	medium	ConstructionBalance	Tier 4 screen-specific mechanism support		target_gene_expression_row
31766	ENSG00000198597	ZNF536	Gene Expression	chr19	30372383	30372384	ZNF536	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
31935	ENSG00000254004	ZNF260	Gene Expression	chr19	36525298	36528271	ZNF260	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
32068	ENSG00000197782	ZNF780A	Gene Expression	chr19	40090234	40090938	ZNF780A	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog		target_gene_expression_row
32442	ENSG00000104888	SLC17A7	Gene Expression	chr19	49441526	49442360	SLC17A7	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
33038	ENSG00000132639	SNAP25	Gene Expression	chr20	10218829	10218833	SNAP25	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability		target_gene_expression_row
33044	ENSG00000101384	JAG1	Gene Expression	chr20	10673998	10673999	JAG1	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
33253	ENSG00000125968	ID1	Gene Expression	chr20	31605282	31605289	ID1	high	NicheSignal	shared_neurogenic_niche_state		target_gene_expression_row
33813	ENSG00000197457	STMN3	Gene Expression	chr20	63652765	63653424	STMN3	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation		target_gene_expression_row
34180	ENSG00000157542	KCNJ6	Gene Expression	chr21	37916456	38121345	KCNJ6	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability		target_gene_expression_row
36052	ENSG00000077279	DCX	Gene Expression	chrX	111410948	111412429	DCX	high	EpigenomicCompatibility;NicheSignal	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation		target_gene_expression_row
36247	ENSG00000156925	ZIC3	Gene Expression	chrX	137566126	137566518	ZIC3	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern		target_gene_expression_row
