sample_accession	donor_id	feature_index_0based	feature_id	feature_name	gene	feature_chrom	feature_start	feature_end	best_priority	model_terms_supported	target_sets	feature_type	linked_gene	peak_category	selection_reason
GSM9558423	H187	3961	ENSG00000143933	CALM2	CALM2	chr2	47175538	47176921	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	CALM2		target_gene_expression_row
GSM9558423	H187	10798	ENSG00000070808	CAMK2A	CAMK2A	chr5	150289737	150290291	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	CAMK2A		target_gene_expression_row
GSM9558423	H187	13505	ENSG00000058404	CAMK2B	CAMK2B	chr7	44325420	44325656	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	CAMK2B		target_gene_expression_row
GSM9558423	H187	20024	ENSG00000172757	CFL1	CFL1	chr11	65856963	65861421	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	CFL1		target_gene_expression_row
GSM9558423	H187	20496	ENSG00000149972	CNTN5	CNTN5	chr11	99020948	99844808	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	CNTN5		target_gene_expression_row
GSM9558423	H187	30569	ENSG00000187323	DCC	DCC	chr18	52340196	52934772	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	DCC		target_gene_expression_row
GSM9558423	H187	36051	ENSG00000077279	DCX	DCX	chrX	111410948	111412429	high	EpigenomicCompatibility;NicheSignal	shared_neurogenic_niche_state;shared_postmitotic_granule_maturation	Gene Expression	DCX		target_gene_expression_row
GSM9558423	H187	19266	ENSG00000050165	DKK3	DKK3	chr11	12009081	12009769	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	DKK3		target_gene_expression_row
GSM9558423	H187	13004	ENSG00000198719	DLL1	DLL1	chr6	170291077	170291078	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	DLL1		target_gene_expression_row
GSM9558423	H187	15056	ENSG00000092964	DPYSL2	DPYSL2	chr8	26514030	26578405	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	DPYSL2		target_gene_expression_row
GSM9558423	H187	10748	ENSG00000113657	DPYSL3	DPYSL3	chr5	147453958	147510068	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	DPYSL3		target_gene_expression_row
GSM9558423	H187	22647	ENSG00000088986	DYNLL1	DYNLL1	chr12	120469849	120496113	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	Gene Expression	DYNLL1		target_gene_expression_row
GSM9558423	H187	4193	ENSG00000135638	EMX1	EMX1	chr2	72916259	72917519	medium_high	FatePolarity	anterior_telencephalic_pattern	Gene Expression	EMX1		target_gene_expression_row
GSM9558423	H187	18712	ENSG00000170370	EMX2	EMX2	chr10	117542444	117542746	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	EMX2		target_gene_expression_row
GSM9558423	H187	4774	ENSG00000163064	EN1	EN1	chr2	118847677	118847678	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	EN1		target_gene_expression_row
GSM9558423	H187	14658	ENSG00000164778	EN2	EN2	chr7	155458128	155458129	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	EN2		target_gene_expression_row
GSM9558423	H187	6182	ENSG00000163508	EOMES	EOMES	chr3	27722322	27722711	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	EOMES		target_gene_expression_row
GSM9558423	H187	18556	ENSG00000107831	FGF8	FGF8	chr10	101775958	101780369	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern	Gene Expression	FGF8		target_gene_expression_row
GSM9558423	H187	24043	ENSG00000176165	FOXG1	FOXG1	chr14	28766786	28766787	medium_high	FatePolarity	anterior_telencephalic_pattern	Gene Expression	FOXG1		target_gene_expression_row
GSM9558423	H187	3972	ENSG00000170802	FOXN2	FOXN2	chr2	48314681	48346217	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	FOXN2		target_gene_expression_row
GSM9558423	H187	8267	ENSG00000151834	GABRA2	GABRA2	chr4	46388712	46475230	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	GABRA2		target_gene_expression_row
GSM9558423	H187	25253	ENSG00000166206	GABRB3	GABRB3	chr15	26629089	26939539	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	GABRB3		target_gene_expression_row
GSM9558423	H187	6954	ENSG00000172020	GAP43	GAP43	chr3	115623323	115623510	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	Gene Expression	GAP43		target_gene_expression_row
GSM9558423	H187	5828	ENSG00000168505	GBX2	GBX2	chr2	236168008	236168386	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern	Gene Expression	GBX2		target_gene_expression_row
GSM9558423	H187	29250	ENSG00000131095	GFAP	GFAP	chr17	44915485	44915500	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	GFAP		target_gene_expression_row
GSM9558423	H187	21960	ENSG00000111087	GLI1	GLI1	chr12	57459784	57460151	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Gene Expression	GLI1		target_gene_expression_row
GSM9558423	H187	4797	ENSG00000074047	GLI2	GLI2	chr2	120792408	120797291	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	GLI2		target_gene_expression_row
GSM9558423	H187	16232	ENSG00000107249	GLIS3	GLIS3	chr9	4152146	4300068	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	GLIS3		target_gene_expression_row
GSM9558423	H187	9242	ENSG00000150625	GPM6A	GPM6A	chr4	175787675	176002664	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	Gene Expression	GPM6A		target_gene_expression_row
GSM9558423	H187	21297	ENSG00000273079	GRIN2B	GRIN2B	chr12	13980362	13980363	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	GRIN2B		target_gene_expression_row
GSM9558423	H187	7751	ENSG00000114315	HES1	HES1	chr3	194136147	194136148	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	HES1		target_gene_expression_row
GSM9558423	H187	110	ENSG00000197921	HES5	HES5	chr1	2530262	2530263	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	HES5		target_gene_expression_row
GSM9558423	H187	22055	ENSG00000149948	HMGA2	HMGA2	chr12	65824130	65825123	medium_high	FatePolarity	deep_neural_progenitor	Gene Expression	HMGA2		target_gene_expression_row
GSM9558423	H187	601	ENSG00000198830	HMGN2	HMGN2	chr1	26472439	26472515	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Gene Expression	HMGN2		target_gene_expression_row
GSM9558423	H187	33252	ENSG00000125968	ID1	ID1	chr20	31605282	31605289	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	ID1		target_gene_expression_row
GSM9558423	H187	3513	ENSG00000115738	ID2	ID2	chr2	8678844	8682056	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	ID2		target_gene_expression_row
GSM9558423	H187	33043	ENSG00000101384	JAG1	JAG1	chr20	10673998	10673999	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	JAG1		target_gene_expression_row
GSM9558423	H187	14171	ENSG00000184408	KCND2	KCND2	chr7	120273174	120273175	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	KCND2		target_gene_expression_row
GSM9558423	H187	5024	ENSG00000162989	KCNJ3	KCNJ3	chr2	154697854	154698695	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	KCNJ3		target_gene_expression_row
GSM9558423	H187	34179	ENSG00000157542	KCNJ6	KCNJ6	chr21	37916456	38121345	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	KCNJ6		target_gene_expression_row
GSM9558423	H187	3198	ENSG00000135750	KCNK1	KCNK1	chr1	233614105	233614106	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	KCNK1		target_gene_expression_row
GSM9558423	H187	22113	ENSG00000135643	KCNMB4	KCNMB4	chr12	70366289	70366290	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	KCNMB4		target_gene_expression_row
GSM9558423	H187	6351	ENSG00000163807	KIAA1143	KIAA1143	chr3	44761618	44761619	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	KIAA1143		target_gene_expression_row
GSM9558423	H187	30460	ENSG00000150477	KIAA1328	KIAA1328	chr18	36829126	37066866	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	KIAA1328		target_gene_expression_row
GSM9558423	H187	36380	ENSG00000198910	L1CAM	L1CAM	chrX	153875846	153886173	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	L1CAM		target_gene_expression_row
GSM9558423	H187	8752	ENSG00000138795	LEF1	LEF1	chr4	108166300	108168956	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	LEF1		target_gene_expression_row
GSM9558423	H187	17160	ENSG00000106689	LHX2	LHX2	chr9	124011767	124011768	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	LHX2		target_gene_expression_row
GSM9558423	H187	9979	ENSG00000131711	MAP1B	MAP1B	chr5	72107474	72107475	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	MAP1B		target_gene_expression_row
GSM9558423	H187	7657	ENSG00000073803	MAP3K13	MAP3K13	chr3	185282940	185363136	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	MAP3K13		target_gene_expression_row
GSM9558423	H187	11849	ENSG00000112062	MAPK14	MAPK14	chr6	36027676	36028158	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	MAPK14		target_gene_expression_row
GSM9558423	H187	17186	ENSG00000119487	MAPKAP1	MAPKAP1	chr9	125672642	125707234	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	Gene Expression	MAPKAP1		target_gene_expression_row
GSM9558423	H187	4111	ENSG00000143995	MEIS1	MEIS1	chr2	66435124	66439321	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	MEIS1		target_gene_expression_row
GSM9558423	H187	22641	ENSG00000135097	MSI1	MSI1	chr12	120369163	120369164	medium_high	FatePolarity	deep_neural_progenitor	Gene Expression	MSI1		target_gene_expression_row
GSM9558423	H187	3595	ENSG00000134323	MYCN	MYCN	chr2	15940549	15940566	high	FatePolarity	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	Gene Expression	MYCN		target_gene_expression_row
GSM9558423	H187	20626	ENSG00000149294	NCAM1	NCAM1	chr11	112961246	112961480	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	NCAM1		target_gene_expression_row
GSM9558423	H187	2203	ENSG00000132688	NES	NES	chr1	156677406	156677407	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	NES		target_gene_expression_row
GSM9558423	H187	5262	ENSG00000162992	NEUROD1	NEUROD1	chr2	181680875	181680876	high	EpigenomicCompatibility;FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage;shared_postmitotic_granule_maturation	Gene Expression	NEUROD1		target_gene_expression_row
GSM9558423	H187	29003	ENSG00000171532	NEUROD2	NEUROD2	chr17	39607919	39607920	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	NEUROD2		target_gene_expression_row
GSM9558423	H187	1200	ENSG00000162599	NFIA	NFIA	chr1	60865258	61404076	highest	ConstructionBalance;EpigenomicCompatibility	Tier 1 core convergent program;shared_postmitotic_granule_maturation	Gene Expression	NFIA		target_gene_expression_row
GSM9558423	H187	16303	ENSG00000147862	NFIB	NFIB	chr9	14180791	14398983	highest	ConstructionBalance	Tier 1 core convergent program	Gene Expression	NFIB		target_gene_expression_row
GSM9558423	H187	17435	ENSG00000148400	NOTCH1	NOTCH1	chr9	136546047	136546048	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	NOTCH1		target_gene_expression_row
GSM9558423	H187	1796	ENSG00000134250	NOTCH2	NOTCH2	chr1	120051713	120069662	high	NicheSignal	shared_neurogenic_niche_state	Gene Expression	NOTCH2		target_gene_expression_row
GSM9558423	H187	17856	ENSG00000099250	NRP1	NRP1	chr10	33334381	33336262	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	NRP1		target_gene_expression_row
GSM9558423	H187	3983	ENSG00000179915	NRXN1	NRXN1	chr2	49973938	51032561	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	NRXN1		target_gene_expression_row
GSM9558423	H187	24306	ENSG00000165588	OTX2	OTX2	chr14	56805647	56816693	medium_high	FatePolarity	anterior_telencephalic_pattern	Gene Expression	OTX2		target_gene_expression_row
GSM9558423	H187	18529	ENSG00000075891	PAX2	PAX2	chr10	100745710	100746220	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern	Gene Expression	PAX2		target_gene_expression_row
GSM9558423	H187	16537	ENSG00000196092	PAX5	PAX5	chr9	37025747	37034268	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern	Gene Expression	PAX5		target_gene_expression_row
GSM9558423	H187	19444	ENSG00000007372	PAX6	PAX6	chr11	31804045	31817961	high	FatePolarity	anterior_telencephalic_pattern;cerebellar_fate_rhombic_lip_shh;deep_neural_progenitor	Gene Expression	PAX6		target_gene_expression_row
GSM9558423	H187	4736	ENSG00000125618	PAX8	PAX8	chr2	113241778	113278921	medium_high	FatePolarity	hindbrain_rhombic_lip_pattern	Gene Expression	PAX8		target_gene_expression_row
GSM9558423	H187	2882	ENSG00000076356	PLXNA2	PLXNA2	chr1	208244383	208244384	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	PLXNA2		target_gene_expression_row
GSM9558423	H187	14300	ENSG00000221866	PLXNA4	PLXNA4	chr7	132576469	132648688	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	PLXNA4		target_gene_expression_row
GSM9558423	H187	14210	ENSG00000128513	POT1	POT1	chr7	124929800	124929983	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	POT1		target_gene_expression_row
GSM9558423	H187	8696	ENSG00000138814	PPP3CA	PPP3CA	chr4	101346841	101347526	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	PPP3CA		target_gene_expression_row
GSM9558423	H187	8073	ENSG00000007062	PROM1	PROM1	chr4	16076117	16084378	medium_high	FatePolarity	deep_neural_progenitor	Gene Expression	PROM1		target_gene_expression_row
GSM9558423	H187	2964	ENSG00000117707	PROX1	PROX1	chr1	213987934	213988517	high	FatePolarity	dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	PROX1		target_gene_expression_row
GSM9558423	H187	16872	ENSG00000185920	PTCH1	PTCH1	chr9	95507198	95517057	high	FatePolarity;NicheSignal	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern;shared_neurogenic_niche_state	Gene Expression	PTCH1		target_gene_expression_row
GSM9558423	H187	7111	ENSG00000075785	RAB7A	RAB7A	chr3	128726121	128795359	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	RAB7A		target_gene_expression_row
GSM9558423	H187	29913	ENSG00000167281	RBFOX3	RBFOX3	chr17	79235804	79516148	medium	EpigenomicCompatibility	shared_postmitotic_granule_maturation	Gene Expression	RBFOX3		target_gene_expression_row
GSM9558423	H187	16228	ENSG00000080298	RFX3	RFX3	chr9	3395587	3526001	highest	ConstructionBalance	Tier 1 core convergent program	Gene Expression	RFX3		target_gene_expression_row
GSM9558423	H187	25696	ENSG00000181827	RFX7	RFX7	chr15	56243265	56243266	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	Gene Expression	RFX7		target_gene_expression_row
GSM9558423	H187	6740	ENSG00000185008	ROBO2	ROBO2	chr3	75906694	77477410	high	ConstructionBalance;EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor;downstream_neurite_morphology;downstream_neurite_synapse_construction	Gene Expression	ROBO2		target_gene_expression_row
GSM9558423	H187	24339	ENSG00000139970	RTN1	RTN1	chr14	59630608	59870776	high	ConstructionBalance	downstream_neurite_morphology	Gene Expression	RTN1		target_gene_expression_row
GSM9558423	H187	19914	ENSG00000133318	RTN3	RTN3	chr11	63681445	63681573	high	ConstructionBalance	Tier 4 screen-specific mechanism support;downstream_neurite_morphology	Gene Expression	RTN3		target_gene_expression_row
GSM9558423	H187	25986	ENSG00000138623	SEMA7A	SEMA7A	chr15	74433703	74433958	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	SEMA7A		target_gene_expression_row
GSM9558423	H187	3927	ENSG00000138083	SIX3	SIX3	chr2	44941701	44941702	medium_high	FatePolarity	anterior_telencephalic_pattern	Gene Expression	SIX3		target_gene_expression_row
GSM9558423	H187	19385	ENSG00000091664	SLC17A6	SLC17A6	chr11	22338380	22338381	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	SLC17A6		target_gene_expression_row
GSM9558423	H187	32441	ENSG00000104888	SLC17A7	SLC17A7	chr19	49441526	49442360	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	SLC17A7		target_gene_expression_row
GSM9558423	H187	33037	ENSG00000132639	SNAP25	SNAP25	chr20	10218829	10218833	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	SNAP25		target_gene_expression_row
GSM9558423	H187	23631	ENSG00000182968	SOX1	SOX1	chr13	112067148	112067149	medium_high	FatePolarity	deep_neural_progenitor	Gene Expression	SOX1		target_gene_expression_row
GSM9558423	H187	7593	ENSG00000181449	SOX2	SOX2	chr3	181711924	181711925	high	FatePolarity;NicheSignal	deep_neural_progenitor;shared_neurogenic_niche_state	Gene Expression	SOX2		target_gene_expression_row
GSM9558423	H187	36257	ENSG00000134595	SOX3	SOX3	chrX	140505115	140505116	medium_high	FatePolarity	deep_neural_progenitor	Gene Expression	SOX3		target_gene_expression_row
GSM9558423	H187	15543	ENSG00000104435	STMN2	STMN2	chr8	79610813	79611735	high	ConstructionBalance;EpigenomicCompatibility	Tier 4 screen-specific mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	Gene Expression	STMN2		target_gene_expression_row
GSM9558423	H187	33812	ENSG00000197457	STMN3	STMN3	chr20	63652765	63653424	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_morphology;downstream_neurite_synapse_construction;shared_postmitotic_granule_maturation	Gene Expression	STMN3		target_gene_expression_row
GSM9558423	H187	17211	ENSG00000136854	STXBP1	STXBP1	chr9	127579369	127612361	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	STXBP1		target_gene_expression_row
GSM9558423	H187	7002	ENSG00000145087	STXBP5L	STXBP5L	chr3	120908071	120908314	high	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor;downstream_synaptic_excitability	Gene Expression	STXBP5L		target_gene_expression_row
GSM9558423	H187	6650	ENSG00000163630	SYNPR	SYNPR	chr3	63278307	63443337	high	ConstructionBalance	downstream_synaptic_excitability	Gene Expression	SYNPR		target_gene_expression_row
GSM9558423	H187	22185	ENSG00000067715	SYT1	SYT1	chr12	78863992	79045631	high	ConstructionBalance;EpigenomicCompatibility	downstream_neurite_synapse_construction;downstream_synaptic_excitability	Gene Expression	SYT1		target_gene_expression_row
GSM9558423	H187	5072	ENSG00000136535	TBR1	TBR1	chr2	161416296	161417895	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	TBR1		target_gene_expression_row
GSM9558423	H187	30583	ENSG00000196628	TCF4	TCF4	chr18	55302625	55636027	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	TCF4		target_gene_expression_row
GSM9558423	H187	18666	ENSG00000148737	TCF7L2	TCF7L2	chr10	112950246	112950757	high	FatePolarity	anterior_telencephalic_pattern;dentate_fate_wnt_prox1;medial_pallium_dentate_lineage	Gene Expression	TCF7L2		target_gene_expression_row
GSM9558423	H187	3883	ENSG00000152154	TMEM178A	TMEM178A	chr2	39665916	39665967	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	TMEM178A		target_gene_expression_row
GSM9558423	H187	19554	ENSG00000175274	TP53I11	TP53I11	chr11	44938334	44951306	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	TP53I11		target_gene_expression_row
GSM9558423	H187	21658	ENSG00000167552	TUBA1A	TUBA1A	chr12	49186863	49189080	medium_high	ConstructionBalance	Tier 3 broad both-screen mechanism support	Gene Expression	TUBA1A		target_gene_expression_row
GSM9558423	H187	21656	ENSG00000123416	TUBA1B	TUBA1B	chr12	49131394	49131395	medium	ConstructionBalance	Tier 4 screen-specific mechanism support	Gene Expression	TUBA1B		target_gene_expression_row
GSM9558423	H187	11643	ENSG00000196230	TUBB	TUBB	chr6	30720351	30721699	medium	ConstructionBalance	Tier 5 exploratory non-identical ortholog	Gene Expression	TUBB		target_gene_expression_row
