canonical_gene	n_candidate_units	n_detected_candidate_units	detected_candidate_fraction	median_candidate_detection	median_candidate_rank	median_candidate_minus_background_rank	positive_candidate_background_units	positive_candidate_background_fraction	p0_rank	p8_median_rank	p8_minus_p0_rank	p0_detection	p8_median_detection	p8_minus_p0_detection	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles	effect_weight	priority_score	conditioned_medium_inference_tier
FGF8	6	5	0.8333333333333334	0.0265128379896935	1.0	0.5	5	0.8333333333333334	1.0	1.0	0.0	0.0687079910380881	0.04492690672419665	-0.02378108431389145	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand	-0.5	1.5265128379896935	detected_secreted_context_candidate
MDK	6	6	1.0	0.5769611127317256	0.8333333333333333	0.25	3	0.5	0.6666666666666666	0.5	-0.16666666666666663	0.6258401792382375	0.5769611127317256	-0.04887906650651197	growth factor	secreted_medium_compatible	high	survival_or_proliferative_counter_signal	growth/survival counter-signal		-0.5	1.243627779398392	detected_secreted_context_candidate
WNT5A	6	6	1.0	0.0340568019731491	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0369678864824495	0.029021465840473798	-0.007946420641975704	WNT pathway	secreted_medium_compatible	high	context_dependent	WNT pathway candidate	wnt_beta_catenin:ligand	0.5	0.5340568019731491	detected_secreted_context_candidate
SFRP4	6	6	1.0	0.0172522050724108	1.0	0.5	4	0.6666666666666666	0.3333333333333333	0.8333333333333333	0.49999999999999994	0.0112023898431665	0.0111063739302608	-9.601591290570033e-05	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	secreted frizzled-related candidate		2.5	5.017252205072411	low_or_counter_signal
SEMA6A	6	6	1.0	0.7064364060810719	1.0	0.5	6	1.0	1.0	1.0	0.0	0.69865571321882	0.6846947563682135	-0.013960956850606498	semaphorin guidance	membrane_or_shed	lower	migration_stop_or_differentiation	membrane semaphorin; weaker CM candidate	semaphorin_guidance:ligand	1.0	3.706436406081072	low_or_counter_signal
CNTF	3	3	1.0	0.0030055817947617	1.0	0.5	2	0.6666666666666666							cytokine/neurotrophic	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophic cytokine candidate		1.5	3.5030055817947616	low_or_counter_signal
SEMA7A	6	6	1.0	0.19115458318004142	1.0	0.5	4	0.6666666666666666	1.0	0.8333333333333333	-0.16666666666666674	0.1964152352501867	0.337988682055737	0.1415734468055503	semaphorin guidance	membrane_or_shed	lower	migration_stop_or_differentiation	membrane/GPI semaphorin; weaker CM candidate	semaphorin_guidance:ligand	1.0	3.191154583180041	low_or_counter_signal
SLIT3	6	6	1.0	0.0086564801874192	0.8333333333333333	0.25	3	0.5	1.0	0.6666666666666666	-0.33333333333333337	0.0134428678117998	0.00268389789487515	-0.010758969916924651	slit/robo guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted guidance candidate		2.0	3.175323146854086	low_or_counter_signal
FRZB	6	6	1.0	0.009603995698397	0.6666666666666666	2.7755575615628914e-17	3	0.5	1.0	0.3333333333333333	-0.6666666666666667	0.0100821508588498	0.0075291790750529	-0.0025529717837969	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	secreted frizzled-related candidate		2.5	2.84293732903173	low_or_counter_signal
BMP2	6	6	1.0	0.00445321073153585	0.6666666666666666	0.0	2	0.3333333333333333	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0026138909634055	0.0016263133655817499	-0.0009875775978237503	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand	2.5	2.837786544064869	low_or_counter_signal
INHBA	6	6	1.0	0.00188757067036805	0.5	-0.24999999999999997	2	0.3333333333333333	0.6666666666666666	1.0	0.33333333333333337	0.0003734129947722	0.00188757067036805	0.00151415767559585	activin/inhibin	secreted_medium_compatible	high	anti_proliferative_or_differentiation	activin branch candidate		2.5	2.8352209040037017	low_or_counter_signal
BMP7	6	6	1.0	0.015782651168052948	0.3333333333333333	-0.49999999999999994	2	0.3333333333333333	1.0	0.3333333333333333	-0.6666666666666667	0.0739357729648991	0.017586516772291498	-0.056349256192607604	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand	2.5	2.515782651168053	low_or_counter_signal
TGFB1	6	6	1.0	0.007879075057192	0.3333333333333333	-0.49999999999999994	0	0.0	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0190440627333831	0.01016686274321235	-0.008877199990170751	TGF-beta superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	TGF-beta family candidate	tgf_beta_smad:ligand	2.5	2.507879075057192	low_or_counter_signal
WIF1	6	6	1.0	0.00614947651568705	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0089619118745332	0.00310944276862215	-0.005852469105911051	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT inhibitory factor candidate		2.5	2.506149476515687	low_or_counter_signal
BMP4	6	6	1.0	0.00421544030682755	0.3333333333333333	-0.49999999999999994	1	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0022404779686333	0.0049759098325709	0.0027354318639376	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand	2.5	2.5042154403068277	low_or_counter_signal
SEMA3E	6	6	1.0	0.0038711502927736502	0.6666666666666666	0.0	0	0.0	0.3333333333333333	0.5	0.16666666666666669	0.0014936519790888	0.0024985067194951	0.0010048547404063	semaphorin guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted semaphorin guidance candidate	semaphorin_guidance:ligand	2.0	2.503871150292773	low_or_counter_signal
DKK1	4	3	0.75	0.00046007992548885	0.5	-0.24999999999999997	0	0.0							WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:antagonist	2.5	2.500460079925489	low_or_counter_signal
SLIT1	6	6	1.0	0.014364562400675851	0.6666666666666666	0.0	1	0.16666666666666666	1.0	0.5	-0.5	0.0253920836445108	0.00214882797515435	-0.023243255669356453	slit/robo guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted guidance candidate		2.0	2.347697895734009	low_or_counter_signal
BDNF	6	6	1.0	0.0061093020369481	0.6666666666666666	0.0	1	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0059746079163554	0.00441973630643075	-0.00155487160992465	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand	1.5	2.172775968703615	low_or_counter_signal
SEMA3C	6	6	1.0	0.0134231125600017	0.5	-0.24999999999999997	1	0.16666666666666666	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0029873039581777	0.00236787806710195	-0.0006194258910757499	semaphorin guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted semaphorin guidance candidate	semaphorin_guidance:ligand	2.0	2.0134231125600017	low_or_counter_signal
LIF	4	3	0.75	0.00026010262910426246	0.6666666666666666	0.0	0	0.0							cytokine/neurotrophic	secreted_medium_compatible	high	differentiation_context_dependent	IL6-family differentiation candidate		1.5	1.8335934359624375	low_or_counter_signal
DLL3	6	6	1.0	0.1544642408738923	0.8333333333333333	0.25	3	0.5	1.0	0.5	-0.5	0.1949215832710978	0.1544642408738923	-0.0404573423972055	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand	0.5	1.8211309075405588	low_or_counter_signal
THBS1	6	6	1.0	0.0017390112383858002	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.5	0.16666666666666669	0.0007468259895444	0.0012218720982540999	0.0004750461087096999	matricellular/synaptogenic	secreted_medium_compatible	high	maturation_synaptogenic_context_dependent	secreted matricellular candidate		1.5	1.6684056779050525	low_or_counter_signal
THBS2	6	6	1.0	0.0048369378275110505	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0067214339058999	0.002127724368735	-0.0045937095371649	matricellular/synaptogenic	secreted_medium_compatible	high	maturation_synaptogenic_context_dependent	secreted matricellular candidate		1.5	1.504836937827511	low_or_counter_signal
TGFBI	6	6	1.0	0.00244028921007165	0.3333333333333333	-0.49999999999999994	0	0.0	0.6666666666666666	0.5	-0.16666666666666663	0.0011202389843166	0.0021824868917219	0.0010622479074052999	TGF-beta response/ECM	secreted_medium_compatible	high	maturation_ecm_context_dependent	secreted TGF-beta-induced ECM candidate	tgf_beta_smad:response	1.5	1.5024402892100717	low_or_counter_signal
NGF	5	4	0.8	0.0004803073967339	0.3333333333333333	-0.49999999999999994	2	0.4							neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	tested in 2005 but not main neutralized activity		1.5	1.5004803073967339	low_or_counter_signal
GDF15	6	4	0.6666666666666666	0.00047286273547585004	0.5	-0.24999999999999997	2	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.0	0.0011202389843166	0.0003707823507601	-0.0007494566335564999	BMP/GDF superfamily	secreted_medium_compatible	high	stress_maturation_context_dependent	stress/differentiation-associated TGF-beta family candidate		1.5	1.5004728627354758	low_or_counter_signal
NTF4	3	1	0.3333333333333333	0.0	0.3333333333333333	-0.49999999999999994	1	0.3333333333333333							neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophin maturation candidate		1.5	1.5	low_or_counter_signal
SEMA5A	6	6	1.0	0.0576723995067074	0.6666666666666666	2.7755575615628914e-17	3	0.5	1.0	0.3333333333333333	-0.6666666666666667	0.0836445108289768	0.0262320499135019	-0.057412460915474896	semaphorin guidance	membrane_or_shed	lower	migration_stop_or_differentiation	membrane semaphorin; weaker CM candidate	semaphorin_guidance:ligand	1.0	1.3910057328400407	low_or_counter_signal
NODAL	6	4	0.6666666666666666	0.0011514212935273501	0.75	0.125	3	0.5	1.0	0.5	-0.5	0.0007468259895444	0.0	-0.0007468259895444	TGF-beta superfamily	secreted_medium_compatible	high	developmental_context_dependent	developmental TGF-beta family candidate		0.5	1.2511514212935273	low_or_counter_signal
IL6	4	3	0.75	0.00062654257915475	0.75	0.125	2	0.5							cytokine/neuroimmune	secreted_medium_compatible	high	context_dependent	cytokine candidate		0.5	1.2506265425791547	low_or_counter_signal
SEMA6D	6	6	1.0	0.23703205899423124	0.5	-0.24999999999999997	1	0.16666666666666666	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.248319641523525	0.2051970435717346	-0.04312259795179041	semaphorin guidance	membrane_or_shed	lower	migration_stop_or_differentiation	membrane semaphorin; weaker CM candidate	semaphorin_guidance:ligand	1.0	1.2370320589942312	low_or_counter_signal
NTN3	3	2	0.6666666666666666	0.0142154182613449	0.6666666666666666	0.0	0	0.0							netrin guidance	secreted_medium_compatible	high	migration_or_survival_context_dependent	secreted guidance candidate		0.5	0.8475487515946781	low_or_counter_signal
CCN3	2	2	1.0	0.0025375955956007503	0.6666666666666666	2.7755575615628914e-17	1	0.5							CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate		0.5	0.835870928928934	low_or_counter_signal
CCN2	2	1	0.5	0.00054674685620555	0.6666666666666666	2.7755575615628914e-17	1	0.5							CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate		0.5	0.8338800801895389	low_or_counter_signal
JAG1	6	6	1.0	0.0203527513255386	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0179238237490664	0.014468525707398198	-0.0034552980416682026	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand	0.5	0.5203527513255386	low_or_counter_signal
DLL1	6	6	1.0	0.019224356281955998	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0100821508588498	0.010920982754880751	0.0008388318960309508	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand	0.5	0.519224356281956	low_or_counter_signal
DLL4	6	6	1.0	0.0059787318388774	0.3333333333333333	-0.49999999999999994	1	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0048543689320388	0.0059787318388774	0.0011243629068386001	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand	0.5	0.5059787318388774	low_or_counter_signal
CCN1	2	2	1.0	0.0030843424518063	0.5	-0.24999999999999997	0	0.0							CCN matricellular	secreted_medium_compatible	high	context_dependent	secreted matricellular candidate		0.5	0.5030843424518063	low_or_counter_signal
JAG2	6	6	1.0	0.00219031512338115	0.5	-0.24999999999999997	0	0.0	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.001867064973861	0.0012218720982540999	-0.0006451928756069001	Notch ligand	cell_bound_or_shed	lower	differentiation_context_dependent	cell-bound Notch ligand; weaker CM candidate	notch_hes:ligand	0.5	0.5021903151233812	low_or_counter_signal
FGF2	6	6	1.0	0.00850667631880635	0.6666666666666666	0.0	1	0.16666666666666666	0.3333333333333333	0.5	0.16666666666666669	0.0033607169529499	0.0046809936112170505	0.0013202766582671504	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand	-0.5	0.008506676318806295	low_or_counter_signal
FGF10	6	6	1.0	0.01317706663108295	0.6666666666666666	0.0	1	0.16666666666666666	0.6666666666666666	0.5	-0.16666666666666663	0.0220313666915608	0.003829903863723	-0.0182014628278378	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand	-0.5	-0.1534896000355838	low_or_counter_signal
FGF17	3	2	0.6666666666666666	0.0017174753112924	0.6666666666666666	0.0	1	0.3333333333333333							FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand	-0.5	-0.16494919135537434	low_or_counter_signal
IGF2	6	6	1.0	0.00763285842965565	0.3333333333333333	-0.49999999999999994	1	0.16666666666666666	0.3333333333333333	0.5	0.16666666666666669	0.0022404779686333	0.009273565782879651	0.007033087814246351	IGF pathway	secreted_medium_compatible	high	survival_or_proliferative_counter_signal	growth/survival counter-signal		-0.5	-0.32570047490367765	low_or_counter_signal
WNT7B	6	6	1.0	0.0162457894198618	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0149365197908887	0.008738495863158849	-0.006198023927729852	WNT pathway	secreted_medium_compatible	high	neurogenic_permissive_counter_signal	neurogenic/permissive counter-signal	wnt_beta_catenin:ligand	-0.5	-0.4837542105801382	low_or_counter_signal
IGF1	6	6	1.0	0.0102130769699281	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0033607169529499	0.0102130769699281	0.006852360016978199	IGF pathway	secreted_medium_compatible	high	survival_or_proliferative_counter_signal	growth/survival counter-signal		-0.5	-0.4897869230300719	low_or_counter_signal
WNT7A	6	6	1.0	0.0044355711521626	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0007468259895444	0.0024437441965081998	0.0016969182069637998	WNT pathway	secreted_medium_compatible	high	neurogenic_permissive_counter_signal	neurogenic/permissive counter-signal	wnt_beta_catenin:ligand	-0.5	-0.4955644288478374	low_or_counter_signal
SHH	6	6	1.0	0.00165399358203135	0.5	-0.24999999999999997	0	0.0	0.6666666666666666	0.5	-0.16666666666666663	0.001867064973861	0.0009058522704809	-0.0009612127033801	SHH pathway	secreted_medium_compatible	high	proliferative_counter_signal	known cerebellar granule precursor expansion cue	shh_granule_expansion:ligand	-0.5	-0.49834600641796867	low_or_counter_signal
WNT3A	3	2	0.6666666666666666	0.0003989786147462	0.3333333333333333	-0.49999999999999994	0	0.0							WNT pathway	secreted_medium_compatible	high	neurogenic_permissive_counter_signal	neurogenic/permissive counter-signal	wnt_beta_catenin:ligand	-0.5	-0.4996010213852538	low_or_counter_signal
