module_id	module_label	module_family	hypothesis_role	gene_symbol	source_table
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	EN2	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MEIS1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	PROX1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	NEUROD1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	NEUROD2	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	EOMES	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	TBR1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	LEF1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	LHX2	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	EMX2	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	ZBTB20	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	TCF7L2	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	WNT3A	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	WNT7A	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	DKK3	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	BCL11B	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	CALB1	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	C1QL3	primary_core_niche_circuit_module_gene_sets.tsv
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	GLIS3	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	SOX2	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	HES1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	HES5	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	NOTCH1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	NOTCH2	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	DLL1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	JAG1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	ASCL1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	DCX	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	TUBB3	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	NES	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	VIM	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	GFAP	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	BMP4	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	BMPR1A	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	ID1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	ID2	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	PTCH1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	GLI1	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	WNT5A	primary_core_niche_circuit_module_gene_sets.tsv
shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	WNT7A	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	GPM6A	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	ROBO2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	DCC	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	CADM3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	STMN2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	STMN3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	GAP43	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	DPYSL2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	DPYSL3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	MAP1B	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	BASP1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	NCAM1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	L1CAM	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	CFL1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	RTN1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	RTN3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	NRXN1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	CNTN5	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	PLXNA2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	PLXNA4	primary_core_niche_circuit_module_gene_sets.tsv
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	NRP1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	KCNK1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	KCNJ3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	KCNJ6	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	KCND2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	GABRA2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	GABRB3	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	GRIN2B	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	CACNA2D1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	PPP3CA	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	STXBP5L	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	STXBP1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	SYNPR	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	SLC17A6	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	SLC17A7	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	SNAP25	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	SYT1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	CALM1	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	CALM2	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	CAMK2A	primary_core_niche_circuit_module_gene_sets.tsv
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	CAMK2B	primary_core_niche_circuit_module_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB2	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB1	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB3	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR1	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR2	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR3	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD2	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD3	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD4	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD7	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBI	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SERPINE1	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	ID1	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	ID2	primary_core_aim2_pathway_gene_sets.tsv
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	ID3	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	BDNF	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	NTRK2	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	SORT1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	NGFR	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	SHC1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	GRB2	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	SOS1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	RAF1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	MAP2K1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	MAPK1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	MAPK3	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	MAPK14	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	CREB1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	ELK1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	EGR1	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	FOS	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	JUN	primary_core_aim2_pathway_gene_sets.tsv
bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	DUSP6	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMP2	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMP4	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMP7	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMPR1A	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMPR1B	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	BMPR2	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	ACVR1	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	SMAD1	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	SMAD5	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	SMAD9	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	ID1	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	ID2	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	ID3	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	ID4	primary_core_aim2_pathway_gene_sets.tsv
bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	NOG	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	RELN	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	VLDLR	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	LRP8	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	DAB1	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	CRK	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	CRKL	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	RAP1A	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	PAFAH1B1	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	CDK5	primary_core_aim2_pathway_gene_sets.tsv
reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	CDK5R1	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA3A	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA3C	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA3E	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA5A	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA6A	primary_core_aim2_pathway_gene_sets.tsv
semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	SEMA6D	primary_core_aim2_pathway_gene_sets.tsv
