gene	gene_feature_row_1based	gene_feature_id	gene_feature_name	chrom	gene_start	gene_end	target_sources	target_sets	model_terms_supported	best_priority	is_tf_or_regulatory_candidate	n_target_rows	peak_feature_row_1based	peak_feature_id	peak_chrom	peak_start	peak_end	peak_category	distance_to_gene_body_bp	peak_width_bp	extraction_priority
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154563	chr7:5588187-5589094	chr7	5588187	5589094	distal_100kb	57585	908	distal_context_peak
ACTB	13112	ENSG00000075624	ACTB	chr7	5530600	5530602	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	154564	chr7:5592320-5593219	chr7	5592320	5593219	distal_100kb	61718	900	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92084	chr17:81419130-81420025	chr17	81419130	81420025	distal_100kb	92729	896	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92085	chr17:81420841-81421718	chr17	81420841	81421718	distal_100kb	91036	878	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92086	chr17:81422866-81423668	chr17	81422866	81423668	distal_100kb	89086	803	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92087	chr17:81429199-81429993	chr17	81429199	81429993	distal_100kb	82761	795	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92088	chr17:81437925-81438762	chr17	81437925	81438762	distal_100kb	73992	838	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92089	chr17:81471656-81472554	chr17	81471656	81472554	distal_100kb	40200	899	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92090	chr17:81481067-81481982	chr17	81481067	81481982	distal_100kb	30772	916	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92091	chr17:81483994-81484882	chr17	81483994	81484882	distal_100kb	27872	889	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92092	chr17:81487571-81488465	chr17	81487571	81488465	distal_100kb	24289	895	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92093	chr17:81494609-81495501	chr17	81494609	81495501	distal_100kb	17253	893	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92094	chr17:81512466-81513369	chr17	81512466	81513369	gene_body_overlap	0	904	gene_body_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92095	chr17:81523372-81524274	chr17	81523372	81524274	distal_100kb	10554	903	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92096	chr17:81532736-81533562	chr17	81532736	81533562	distal_100kb	19918	827	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92097	chr17:81533835-81534707	chr17	81533835	81534707	distal_100kb	21017	873	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92098	chr17:81552072-81552949	chr17	81552072	81552949	distal_100kb	39254	878	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92099	chr17:81558845-81559752	chr17	81558845	81559752	distal_100kb	46027	908	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92100	chr17:81566394-81567301	chr17	81566394	81567301	distal_100kb	53576	908	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92101	chr17:81579860-81580691	chr17	81579860	81580691	distal_100kb	67042	832	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92102	chr17:81601280-81602162	chr17	81601280	81602162	distal_100kb	88462	883	distal_context_peak
ACTG1	29978	ENSG00000184009	ACTG1	chr17	81512754	81512818	manuscript_candidate_tier	Tier 4 screen-specific mechanism support	ConstructionBalance	medium	False	1	92103	chr17:81609808-81610635	chr17	81609808	81610635	distal_100kb	96990	828	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67435	chr12:102874537-102875425	chr12	102874537	102875425	distal_100kb	82248	889	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67436	chr12:102878890-102879774	chr12	102878890	102879774	distal_100kb	77899	885	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67437	chr12:102882992-102883867	chr12	102882992	102883867	distal_100kb	73806	876	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67438	chr12:102891579-102892310	chr12	102891579	102892310	distal_100kb	65363	732	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67439	chr12:102917011-102917883	chr12	102917011	102917883	distal_100kb	39790	873	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67440	chr12:102950183-102950987	chr12	102950183	102950987	proximal_10kb	6686	805	proximal_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67441	chr12:102955995-102956856	chr12	102955995	102956856	gene_edge_2kb	817	862	high_priority_promoter_gene_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67442	chr12:102957378-102958048	chr12	102957378	102958048	gene_body_overlap	0	671	high_priority_promoter_gene_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67443	chr12:102958182-102958984	chr12	102958182	102958984	gene_edge_2kb	508	803	high_priority_promoter_gene_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67444	chr12:102960765-102961556	chr12	102960765	102961556	proximal_10kb	3091	792	proximal_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67445	chr12:102961775-102962556	chr12	102961775	102962556	proximal_10kb	4101	782	proximal_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67446	chr12:102965095-102965875	chr12	102965095	102965875	proximal_10kb	7421	781	proximal_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67447	chr12:102966368-102967137	chr12	102966368	102967137	proximal_10kb	8694	770	proximal_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67448	chr12:102990310-102991188	chr12	102990310	102991188	distal_100kb	32636	879	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67449	chr12:103012741-103013545	chr12	103012741	103013545	distal_100kb	55067	805	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67450	chr12:103013701-103014393	chr12	103013701	103014393	distal_100kb	56027	693	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67451	chr12:103026688-103027414	chr12	103026688	103027414	distal_100kb	69014	727	distal_context_peak
ASCL1	22385	ENSG00000139352	ASCL1	chr12	102957673	102957674	developmental_origin_module;niche_circuit_module	deep_neural_progenitor;shared_neurogenic_niche_state	FatePolarity;NicheSignal	high	True	2	67452	chr12:103043618-103044379	chr12	103043618	103044379	distal_100kb	85944	762	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132810	chr4:93728908-93729821	chr4	93728908	93729821	distal_100kb	98931	914	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132811	chr4:93730277-93731154	chr4	93730277	93731154	distal_100kb	97598	878	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132812	chr4:93731310-93732155	chr4	93731310	93732155	distal_100kb	96597	846	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132813	chr4:93751250-93752098	chr4	93751250	93752098	distal_100kb	76654	849	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132814	chr4:93764376-93765257	chr4	93764376	93765257	distal_100kb	63495	882	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132815	chr4:93767764-93768524	chr4	93767764	93768524	distal_100kb	60228	761	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132816	chr4:93791376-93792211	chr4	93791376	93792211	distal_100kb	36541	836	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132817	chr4:93814442-93815357	chr4	93814442	93815357	distal_100kb	13395	916	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132818	chr4:93826983-93827821	chr4	93826983	93827821	gene_edge_2kb	931	839	high_priority_promoter_gene_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132819	chr4:93828368-93828970	chr4	93828368	93828970	gene_body_overlap	0	603	high_priority_promoter_gene_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132820	chr4:93829126-93829824	chr4	93829126	93829824	gene_edge_2kb	373	699	high_priority_promoter_gene_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132821	chr4:93834305-93835228	chr4	93834305	93835228	proximal_10kb	5552	924	proximal_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132822	chr4:93856695-93857427	chr4	93856695	93857427	distal_100kb	27942	733	distal_context_peak
ATOH1	8644	ENSG00000172238	ATOH1	chr4	93828752	93828753	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	True	2	132823	chr4:93857559-93858105	chr4	93857559	93858105	distal_100kb	28806	547	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174173	chr9:132507431-132508243	chr9	132507431	132508243	distal_100kb	74362	813	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174174	chr9:132545998-132546822	chr9	132545998	132546822	distal_100kb	35783	825	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174175	chr9:132574780-132575668	chr9	132574780	132575668	proximal_10kb	6937	889	proximal_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174176	chr9:132581840-132582642	chr9	132581840	132582642	gene_body_overlap	0	803	high_priority_promoter_gene_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174177	chr9:132596918-132597691	chr9	132596918	132597691	distal_100kb	14259	774	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174178	chr9:132608758-132609663	chr9	132608758	132609663	distal_100kb	26099	906	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174179	chr9:132656204-132656841	chr9	132656204	132656841	distal_100kb	73545	638	distal_context_peak
BARHL1	17346	ENSG00000125492	BARHL1	chr9	132582605	132582659	developmental_origin_module;niche_circuit_module	cerebellar_fate_rhombic_lip_shh;hindbrain_rhombic_lip_pattern	FatePolarity	high	False	2	174180	chr9:132669780-132670582	chr9	132669780	132670582	distal_100kb	87121	803	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137877	chr5:17118400-17119300	chr5	17118400	17119300	distal_100kb	97522	901	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137878	chr5:17132247-17133139	chr5	17132247	17133139	distal_100kb	83683	893	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137879	chr5:17189084-17189867	chr5	17189084	17189867	distal_100kb	26955	784	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137880	chr5:17203169-17203959	chr5	17203169	17203959	distal_100kb	12863	791	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137881	chr5:17204090-17204800	chr5	17204090	17204800	distal_100kb	12022	711	distal_context_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137882	chr5:17215942-17216859	chr5	17215942	17216859	gene_body_overlap	0	918	high_priority_promoter_gene_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137883	chr5:17217164-17218032	chr5	17217164	17218032	gene_body_overlap	0	869	high_priority_promoter_gene_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137884	chr5:17218629-17219412	chr5	17218629	17219412	gene_edge_2kb	998	784	high_priority_promoter_gene_peak
BASP1	9567	ENSG00000176788	BASP1	chr5	17216822	17217631	developmental_origin_module;manuscript_candidate_tier;niche_circuit_module	Tier 3 broad both-screen mechanism support;downstream_neurite_morphology;downstream_neurite_synapse_construction	ConstructionBalance;EpigenomicCompatibility	high	False	3	137885	chr5:17224769-17225618	chr5	17224769	17225618	proximal_10kb	7138	850	proximal_peak
